省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,18.5,8.4,38,-12
上海,上海,21.0,14.8,38,-7
天津,天津,18.6,10.1,37,-12
重庆,重庆,21.1,15.5,39,0
黑龙江,哈尔滨,10.0,0.3,33,-29
吉林,长春,11.6,2.2,33,-25
辽宁,沈阳,14.3,3.9,34,-22
内蒙古,呼和浩特,12.8,1.4,34,-24
河北,石家庄,18.9,9.8,38,-11
新疆,乌鲁木齐,13.2,4.9,36,-21
甘肃,兰州,16.1,5.4,35,-14
青海,西宁,11.5,-1.4,27,-22
陕西,西安,19.5,9.9,39,-22
宁夏,银川,16.8,5.2,36,-19
河南,郑州,20.3,11.2,39,-7
山东,济南,19.2,10.3,38,-15
山西,太原,17.1,4.8,36,-21
安徽,合肥,20.3,11.6,37,-9
湖北,武汉,20.8,12.9,37,-6
湖南,长沙,21.5,14.4,37,-4
江苏,南京,20.4,12.5,37,-7
四川,成都,20.9,13.5,36,0
贵州,贵阳,22.0,15.3,37,-1
云南,昆明,21.2,11.3,30,0
广西,南宁,26.1,18.9,37,5
西藏,拉萨,12.5,0.0,27,-20
浙江,杭州,21.5,14.2,38,-4
江西,南昌,22.1,15.6,37,-7
广东,广州,26.9,19.6,37,3
福建,福州,25.1,17.5,40,1
台湾,台北,24.3,19.0,35,6
海南,海口,28.3,22.2,38,11
