省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,18.9,8.8,38,-11
上海,上海,20.4,14.3,36,-1
天津,天津,19.0,10.7,37,-7
重庆,重庆,21.3,15.3,39,3
黑龙江,哈尔滨,10.7,0.0,37,-33
吉林,长春,12.3,1.7,34,-26
辽宁,沈阳,15.2,3.2,35,-24
内蒙古,呼和浩特,13.6,2.6,33,-20
河北,石家庄,19.4,10.2,40,-8
新疆,乌鲁木齐,12.2,3.1,36,-24
甘肃,兰州,17.5,5.6,36,-12
青海,西宁,14.0,-0.7,31,-19
陕西,西安,19.5,10.4,38,-5
宁夏,银川,17.0,4.9,38,-15
河南,郑州,20.6,11.3,38,-7
山东,济南,19.9,11.1,39,-10
山西,太原,17.4,5.1,36,-15
安徽,合肥,20.6,12.5,37,-6
湖北,武汉,21.2,12.3,37,-6
湖南,长沙,21.8,14.9,38,-3
江苏,南京,20.4,12.5,36,-5
四川,成都,20.2,13.3,34,-2
贵州,贵阳,22.5,15.5,36,-2
云南,昆明,21.3,11.6,31,-1
广西,南宁,25.6,18.8,36,4
西藏,拉萨,16.7,3.7,28,-12
浙江,杭州,21.4,13.4,37,-3
江西,南昌,22.6,15.6,37,-3
广东,广州,25.9,18.8,36,0
福建,福州,24.7,17.1,37,3
台湾,台北,25.3,19.9,34,7
海南,海口,28.0,21.6,36,9
