时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,8,-3,4,0
2012年1月,10,-3,7,2
2013年1月,17,-2,8,1
2014年1月,19,0,10,4
2015年1月,19,-1,10,4
2016年1月,15,-7,7,2
2017年1月,20,-1,10,4
2018年1月,15,-2,7,2
2019年1月,15,0,9,4
2020年1月,21,1,9,5
2021年1月,18,-6,9,2
2022年1月,14,0,9,4
2011年2月,20,-1,12,5
2012年2月,12,-4,7,2
2013年2月,17,-2,9,3
2014年2月,23,-1,9,4
2015年2月,17,-1,10,4
2016年2月,22,-1,11,4
2017年2月,18,-1,10,4
2018年2月,17,-3,9,3
2019年2月,16,1,9,4
2020年2月,22,0,12,6
2021年2月,24,1,13,6
2022年2月,18,0,8,3
2011年3月,19,0,13,5
2012年3月,23,1,13,6
2013年3月,28,0,15,7
2014年3月,25,3,15,8
2015年3月,26,2,14,8
2016年3月,23,1,15,8
2017年3月,21,3,14,7
2018年3月,25,3,16,9
2019年3月,23,4,15,8
2020年3月,25,5,16,9
2021年3月,24,5,15,9
2022年3月,28,5,17,9
2011年4月,31,5,20,11
2012年4月,27,8,21,14
2013年4月,29,4,20,11
2014年4月,25,8,19,13
2015年4月,30,6,21,13
2016年4月,27,11,20,14
2017年4月,30,9,22,14
2018年4月,31,7,22,14
2019年4月,29,7,21,14
2020年4月,31,9,20,12
2021年4月,29,10,20,14
2022年4月,33,7,21,14
2011年5月,34,12,26,17
2012年5月,32,15,25,18
2013年5月,33,11,25,18
2014年5月,34,13,26,18
2015年5月,31,15,24,17
2016年5月,29,14,24,18
2017年5月,32,16,26,19
2018年5月,36,0,26,19
2019年5月,34,14,25,18
2020年5月,34,17,26,19
2021年5月,34,16,26,19
2022年5月,30,14,24,17
2011年6月,35,19,27,21
2012年6月,34,19,27,22
2013年6月,35,17,27,22
2014年6月,32,20,27,21
2015年6月,34,19,27,21
2016年6月,34,18,27,22
2017年6月,32,19,27,21
2018年6月,37,16,29,22
2019年6月,33,20,28,21
2020年6月,35,21,28,23
2021年6月,33,19,28,22
2022年6月,37,18,30,23
2011年7月,37,26,34,27
2012年7月,38,23,33,26
2013年7月,39,26,36,28
2014年7月,35,22,31,25
2015年7月,38,18,30,24
2016年7月,39,24,34,27
2017年7月,36,26,34,26
2018年7月,37,25,32,26
2019年7月,37,21,31,25
2020年7月,36,20,29,24
2021年7月,37,25,32,26
2022年7月,40,25,35,27
2011年8月,36,22,31,25
2012年8月,36,24,32,26
2013年8月,40,22,35,27
2014年8月,36,21,29,24
2015年8月,38,23,31,25
2016年8月,36,22,33,26
2017年8月,38,24,33,27
2018年8月,36,25,32,27
2019年8月,35,22,32,26
2020年8月,38,26,34,27
2021年8月,35,23,31,26
2011年9月,33,15,28,21
2012年9月,32,15,27,21
2013年9月,34,19,28,22
2014年9月,31,19,27,22
2015年9月,31,20,27,21
2016年9月,35,20,28,23
2017年9月,34,19,27,22
2018年9月,35,19,29,23
2019年9月,32,18,28,22
2020年9月,35,17,27,21
2020年9月,35,17,27,21
2021年9月,36,20,30,23
2011年10月,27,13,22,16
2012年10月,27,9,23,16
2013年10月,28,11,23,17
2014年10月,28,13,24,17
2015年10月,27,13,23,17
2016年10月,30,14,23,19
2017年10月,31,12,22,17
2018年10月,26,12,22,16
2019年10月,30,14,23,17
2020年10月,28,12,22,16
2021年10月,32,12,24,18
2011年11月,25,8,19,13
2012年11月,21,4,15,9
2013年11月,26,1,16,10
2014年11月,22,7,17,12
2015年11月,25,0,16,12
2016年11月,24,7,18,12
2017年11月,23,5,17,11
2018年11月,23,9,18,12
2019年11月,25,6,18,12
2019年11月,25,6,18,12
2020年11月,25,7,18,13
2021年11月,23,2,17,10
2011年12月,16,-2,9,3
2012年12月,18,-4,9,3
2013年12月,18,-2,10,4
2014年12月,14,-1,9,3
2015年12月,17,0,11,5
2017年12月,16,0,10,5
2018年12月,21,-1,11,6
2019年12月,20,2,12,7
2020年12月,15,-6,10,4
2021年12月,17,-2,11,5
