时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,18,0,13,3
2012年1月,19,0,16,3
2013年1月,20,0,16,2
2014年1月,21,-1,16,2
2015年1月,22,0,15,3
2016年1月,18,-5,14,2
2017年1月,19,2,17,4
2018年1月,20,0,15,4
2019年1月,19,2,16,3
2020年1月,21,0,17,3
2021年1月,21,-2,14,3
2022年1月,18,3,15,5
2011年2月,23,3,19,5
2012年2月,23,2,21,5
2013年2月,26,4,23,7
2014年2月,23,2,19,5
2015年2月,23,3,18,4
2016年2月,21,1,14,3
2017年2月,22,3,18,5
2018年2月,23,-1,17,4
2019年2月,24,3,21,5
2020年2月,22,2,18,4
2021年2月,22,3,18,6
2022年2月,20,0,14,4
2011年3月,24,1,18,6
2012年3月,26,4,21,7
2013年3月,26,7,23,9
2014年3月,26,6,22,9
2015年3月,27,6,24,9
2016年3月,25,5,21,8
2017年3月,26,4,19,7
2018年3月,24,6,21,7
2019年3月,27,5,22,7
2020年3月,28,5,23,9
2021年3月,27,7,23,10
2022年3月,28,5,23,10
2011年4月,27,9,23,12
2012年4月,27,8,24,11
2013年4月,28,7,24,11
2014年4月,31,10,26,12
2015年4月,28,9,23,11
2016年4月,27,9,25,12
2017年4月,27,7,21,11
2018年4月,28,6,23,11
2019年4月,29,7,26,12
2020年4月,29,6,22,10
2021年4月,30,10,24,13
2022年4月,29,3,21,11
2011年5月,29,13,24,14
2012年5月,29,14,25,15
2013年5月,29,12,25,14
2014年5月,31,11,27,15
2015年5月,31,12,27,15
2016年5月,29,12,25,14
2017年5月,28,12,24,13
2018年5月,28,12,24,14
2019年5月,31,13,28,16
2020年5月,30,11,26,14
2021年5月,31,14,27,16
2022年5月,27,8,22,13
2011年6月,28,13,25,17
2012年6月,28,16,24,17
2013年6月,30,12,26,16
2014年6月,32,17,25,17
2015年6月,30,17,27,17
2016年6月,28,16,25,17
2017年6月,29,15,25,17
2018年6月,27,14,23,16
2019年6月,30,16,26,18
2020年6月,30,15,27,17
2021年6月,30,14,25,17
2022年6月,26,13,23,16
2011年7月,28,16,25,17
2012年7月,28,17,24,17
2013年7月,27,18,25,18
2014年7月,28,17,25,17
2015年7月,29,14,25,16
2016年7月,29,16,25,17
2017年7月,24,17,22,17
2018年7月,27,16,25,17
2019年7月,27,17,24,17
2020年7月,29,15,24,17
2021年7月,27,16,25,17
2022年7月,30,16,26,17
2011年8月,28,14,25,16
2012年8月,28,16,25,17
2013年8月,27,16,24,17
2014年8月,28,16,24,17
2015年8月,27,15,24,16
2016年8月,30,16,26,17
2017年8月,27,15,24,17
2018年8月,27,16,24,17
2019年8月,29,16,26,17
2020年8月,28,15,25,17
2021年8月,28,16,25,17
2011年9月,28,12,23,16
2012年9月,27,13,23,15
2013年9月,27,10,23,14
2014年9月,28,14,24,16
2015年9月,27,14,23,16
2016年9月,26,12,23,15
2017年9月,28,15,24,16
2018年9月,26,14,23,16
2019年9月,27,11,23,15
2020年9月,27,15,23,16
2020年9月,27,15,23,16
2021年9月,26,15,24,16
2011年10月,25,9,20,12
2012年10月,25,9,22,12
2013年10月,24,7,19,11
2014年10月,25,9,22,12
2015年10月,25,9,21,11
2016年10月,27,11,22,13
2017年10月,26,5,21,13
2018年10月,24,8,19,11
2019年10月,24,9,22,12
2020年10月,24,8,21,13
2021年10月,25,8,20,13
2011年11月,20,3,18,5
2012年11月,26,5,20,8
2013年11月,23,4,19,7
2014年11月,23,4,19,8
2015年11月,22,6,20,8
2016年11月,24,5,20,9
2017年11月,23,4,18,7
2018年11月,21,3,19,6
2019年11月,23,6,20,8
2019年11月,23,6,20,8
2020年11月,22,6,19,9
2021年11月,23,4,16,8
2011年12月,18,1,14,4
2012年12月,21,1,17,4
2013年12月,18,-3,13,2
2014年12月,20,1,15,3
2015年12月,21,-1,14,4
2017年12月,20,0,15,4
2018年12月,20,2,17,5
2019年12月,21,-2,15,2
2020年12月,21,3,16,5
2021年12月,19,3,15,5
