时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,-5,-20,-8,-17
2012年1月,-1,-20,-5,-15
2013年1月,3,-24,-4,-13
2014年1月,6,-19,-2,-12
2015年1月,2,-17,-1,-11
2016年1月,0,-27,-7,-17
2017年1月,4,-22,-3,-13
2018年1月,-1,-23,-6,-16
2019年1月,1,-21,-3,-15
2020年1月,0,-20,-3,-14
2021年1月,7,-28,-4,-16
2022年1月,3,-18,-1,-13
2011年2月,10,-14,2,-8
2012年2月,6,-20,-1,-12
2013年2月,9,-17,0,-10
2014年2月,8,-20,0,-9
2015年2月,5,-15,0,-10
2016年2月,7,-18,-1,-12
2017年2月,8,-18,1,-10
2018年2月,8,-21,-1,-12
2019年2月,8,-21,0,-12
2020年2月,10,-18,1,-10
2021年2月,13,-19,5,-7
2022年2月,7,-19,0,-13
2011年3月,17,-10,5,-5
2012年3月,15,-14,6,-3
2013年3月,17,-9,9,-2
2014年3月,22,-12,10,-3
2015年3月,19,-14,8,-3
2016年3月,20,-13,8,-3
2017年3月,13,-11,7,-3
2018年3月,23,-10,13,0
2019年3月,16,-9,9,-4
2020年3月,19,-12,9,-3
2021年3月,18,-8,11,-1
2022年3月,19,-10,11,-2
2011年4月,22,-3,15,2
2012年4月,25,-2,16,4
2013年4月,26,-8,15,1
2014年4月,25,-1,18,5
2015年4月,27,-4,15,3
2016年4月,28,-3,18,4
2017年4月,27,0,17,3
2018年4月,29,-9,18,4
2019年4月,26,-3,17,4
2020年4月,30,-5,16,2
2021年4月,24,-6,14,3
2022年4月,30,-2,19,3
2011年5月,30,4,21,8
2012年5月,30,4,24,10
2013年5月,30,4,24,10
2014年5月,33,0,22,9
2015年5月,31,2,22,8
2016年5月,30,2,22,8
2017年5月,33,3,24,9
2018年5月,31,2,24,10
2019年5月,30,0,22,8
2020年5月,34,2,23,9
2021年5月,30,2,22,8
2022年5月,34,1,24,8
2011年6月,33,12,29,16
2012年6月,32,8,26,14
2013年6月,32,8,27,15
2014年6月,30,9,26,14
2015年6月,31,8,24,12
2016年6月,29,10,25,13
2017年6月,32,9,27,14
2018年6月,33,12,28,15
2019年6月,32,11,28,15
2020年6月,33,9,28,14
2021年6月,32,8,28,15
2022年6月,37,10,30,15
2011年7月,32,12,29,17
2012年7月,33,16,28,18
2013年7月,32,13,28,17
2014年7月,34,14,28,17
2015年7月,32,14,28,17
2016年7月,32,14,28,17
2017年7月,34,15,30,18
2018年7月,33,15,28,18
2019年7月,33,12,27,16
2020年7月,31,13,27,16
2021年7月,36,12,30,18
2022年7月,34,14,30,17
2011年8月,34,13,28,17
2012年8月,32,9,26,15
2013年8月,32,9,26,15
2014年8月,32,9,25,14
2015年8月,31,12,27,14
2016年8月,32,9,27,16
2017年8月,31,9,26,14
2018年8月,31,14,27,17
2019年8月,30,9,25,13
2020年8月,30,9,26,15
2021年8月,31,9,26,15
2011年9月,27,3,21,8
2012年9月,26,3,20,8
2013年9月,24,0,21,9
2014年9月,27,5,20,9
2015年9月,28,4,20,9
2016年9月,25,2,22,9
2017年9月,28,1,23,9
2018年9月,25,1,19,7
2019年9月,29,6,23,10
2020年9月,25,4,21,9
2020年9月,25,4,21,9
2021年9月,30,8,24,12
2011年10月,25,-2,15,3
2012年10月,21,-5,13,1
2013年10月,23,-4,14,2
2014年10月,22,0,15,4
2015年10月,21,-4,14,2
2016年10月,25,-7,14,2
2017年10月,20,-5,13,2
2018年10月,19,-5,12,0
2019年10月,25,-5,15,2
2020年10月,17,-5,13,0
2021年10月,26,-5,14,1
2011年11月,12,-11,6,-2
2012年11月,10,-14,1,-7
2013年11月,10,-15,4,-5
2014年11月,10,-18,2,-4
2015年11月,13,-17,4,-3
2016年11月,13,-16,6,-4
2017年11月,13,-15,3,-7
2018年11月,15,-12,5,-6
2019年11月,14,-15,5,-5
2019年11月,14,-15,5,-5
2020年11月,15,-15,5,-5
2021年11月,14,-16,5,-7
2011年12月,1,-19,-3,-12
2012年12月,1,-26,-5,-13
2013年12月,4,-17,-2,-12
2014年12月,-1,-18,-5,-13
2015年12月,3,-16,-1,-10
2017年12月,4,-17,-2,-12
2018年12月,5,-25,-5,-17
2019年12月,1,-23,-3,-13
2020年12月,-2,-25,-6,-17
2021年12月,7,-22,0,-13
