时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,3,-11,0,-8
2012年1月,4,-13,0,-7
2013年1月,4,-14,0,-7
2014年1月,10,-9,4,-4
2015年1月,9,-8,4,-5
2016年1月,7,-17,0,-8
2017年1月,8,-10,3,-5
2018年1月,7,-12,1,-7
2019年1月,10,-10,4,-6
2020年1月,8,-9,4,-5
2021年1月,8,-17,1,-7
2022年1月,9,-8,3,-6
2011年2月,10,-10,6,-2
2012年2月,8,-12,3,-5
2013年2月,14,-12,3,-5
2014年2月,9,-11,3,-4
2015年2月,12,-7,6,-3
2016年2月,12,-8,6,-4
2017年2月,15,-7,7,-2
2018年2月,12,-10,4,-5
2019年2月,14,-10,4,-4
2020年2月,11,-8,6,-3
2021年2月,20,-9,8,-3
2022年2月,13,-9,4,-5
2011年3月,22,-4,12,1
2012年3月,20,-6,10,0
2013年3月,19,-5,12,1
2014年3月,24,-3,15,3
2015年3月,22,-6,14,2
2016年3月,24,-4,15,2
2017年3月,20,-3,14,2
2018年3月,27,-4,14,2
2019年3月,25,-2,15,2
2020年3月,24,-4,15,2
2021年3月,24,-5,14,4
2022年3月,20,-3,13,2
2011年4月,28,1,20,8
2012年4月,28,4,21,10
2013年4月,27,0,17,6
2014年4月,29,6,23,11
2015年4月,32,2,21,9
2016年4月,31,5,23,10
2017年4月,34,5,23,10
2018年4月,29,0,20,9
2019年4月,28,3,20,8
2020年4月,33,3,21,8
2021年4月,28,5,20,9
2022年4月,29,3,22,9
2011年5月,33,11,26,14
2012年5月,34,12,28,16
2013年5月,33,11,27,15
2014年5月,38,7,27,15
2015年5月,35,9,27,15
2016年5月,34,9,27,15
2017年5月,36,11,29,16
2018年5月,35,10,28,16
2019年5月,37,10,29,15
2020年5月,35,10,27,15
2021年5月,33,8,26,14
2022年5月,36,8,28,14
2011年6月,36,18,32,20
2012年6月,38,15,29,19
2013年6月,34,15,28,20
2014年6月,37,17,30,20
2015年6月,34,16,30,19
2016年6月,36,16,31,20
2017年6月,37,13,30,19
2018年6月,38,17,32,21
2019年6月,37,18,32,20
2020年6月,38,16,32,21
2021年6月,36,15,31,20
2022年6月,39,15,30,20
2011年7月,35,20,31,22
2012年7月,35,19,31,22
2013年7月,37,20,31,22
2014年7月,37,21,33,23
2015年7月,39,18,31,21
2016年7月,36,20,31,23
2017年7月,36,23,31,23
2018年7月,36,22,31,24
2019年7月,38,19,32,23
2020年7月,37,20,30,22
2021年7月,34,20,30,22
2022年7月,36,21,32,23
2011年8月,35,20,31,22
2012年8月,34,16,30,21
2013年8月,36,16,31,22
2014年8月,34,18,30,21
2015年8月,35,18,31,21
2016年8月,34,17,31,22
2017年8月,36,16,30,21
2018年8月,36,19,31,22
2019年8月,33,18,30,21
2020年8月,36,19,30,22
2021年8月,34,18,29,21
2011年9月,30,10,24,15
2012年9月,29,10,25,15
2013年9月,31,10,25,16
2014年9月,33,10,25,16
2015年9月,31,12,25,16
2016年9月,31,10,26,17
2017年9月,31,10,27,17
2018年9月,32,10,26,15
2019年9月,35,14,29,17
2020年9月,32,9,26,16
2020年9月,32,9,26,16
2021年9月,30,14,25,17
2011年10月,25,2,19,9
2012年10月,27,1,20,8
2013年10月,24,2,19,8
2014年10月,24,3,19,9
2015年10月,26,1,19,9
2016年10月,28,-2,18,9
2017年10月,26,1,17,8
2018年10月,26,1,19,6
2019年10月,30,1,19,7
2020年10月,22,3,19,7
2021年10月,22,1,17,7
2011年11月,16,-5,11,2
2012年11月,15,-7,8,-1
2013年11月,17,-5,11,0
2014年11月,18,-6,11,0
2015年11月,19,-9,7,0
2016年11月,17,-9,10,0
2017年11月,18,-6,9,-1
2018年11月,17,-4,11,0
2019年11月,19,-6,10,0
2019年11月,19,-6,10,0
2020年11月,19,-5,11,0
2021年11月,18,-5,11,0
2011年12月,7,-9,2,-5
2012年12月,3,-15,0,-7
2013年12月,14,-9,6,-4
2014年12月,11,-8,4,-5
2015年12月,9,-7,4,-3
2017年12月,11,-8,4,-5
2018年12月,9,-12,2,-7
2019年12月,10,-12,3,-5
2020年12月,7,-13,2,-6
2021年12月,13,-11,6,-4
