时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,-8,-30,-14,-22
2012年1月,-6,-27,-10,-21
2013年1月,3,-28,-13,-21
2014年1月,2,-25,-8,-18
2015年1月,-1,-25,-7,-17
2016年1月,-1,-28,-11,-20
2017年1月,2,-24,-7,-18
2018年1月,0,-30,-10,-20
2019年1月,3,-20,-4,-15
2020年1月,-1,-22,-7,-16
2021年1月,3,-28,-10,-19
2022年1月,-3,-22,-8,-18
2011年2月,8,-24,-4,-14
2012年2月,1,-25,-6,-16
2013年2月,1,-27,-9,-18
2014年2月,12,-23,-4,-14
2015年2月,4,-25,-3,-13
2016年2月,9,-19,-3,-13
2017年2月,5,-18,-3,-13
2018年2月,1,-27,-6,-17
2019年2月,9,-23,-1,-12
2020年2月,7,-27,-3,-13
2021年2月,10,-26,-3,-13
2022年2月,6,-19,-4,-14
2011年3月,15,-18,2,-6
2012年3月,14,-17,0,-8
2013年3月,8,-19,0,-9
2014年3月,21,-14,6,-3
2015年3月,20,-19,4,-5
2016年3月,21,-13,7,-3
2017年3月,13,-14,6,-4
2018年3月,24,-20,4,-6
2019年3月,20,-13,7,-4
2020年3月,17,-10,6,-3
2021年3月,17,-16,7,-2
2022年3月,12,-10,5,-4
2011年4月,24,-6,13,2
2012年4月,25,-6,14,3
2013年4月,21,-5,8,0
2014年4月,27,-3,17,4
2015年4月,29,-7,16,4
2016年4月,20,-5,14,3
2017年4月,27,-3,16,4
2018年4月,29,-5,16,4
2019年4月,24,-5,15,3
2020年4月,23,-5,13,1
2021年4月,25,-4,15,3
2022年4月,26,-3,16,4
2011年5月,31,5,20,10
2012年5月,31,7,23,11
2013年5月,32,4,23,12
2014年5月,33,2,20,10
2015年5月,33,2,22,10
2016年5月,30,5,22,10
2017年5月,32,4,22,10
2018年5月,31,5,23,11
2019年5月,35,3,23,11
2020年5月,30,2,21,10
2021年5月,32,2,22,10
2022年5月,31,0,22,10
2011年6月,32,11,25,16
2012年6月,30,13,25,16
2013年6月,31,12,26,17
2014年6月,33,14,27,17
2015年6月,32,10,26,16
2016年6月,32,12,26,15
2017年6月,33,8,26,15
2018年6月,34,14,27,17
2019年6月,32,10,25,15
2020年6月,34,12,27,16
2021年6月,31,11,24,15
2022年6月,30,11,24,16
2011年7月,31,17,28,20
2012年7月,32,16,27,19
2013年7月,31,18,27,19
2014年7月,32,16,28,19
2015年7月,33,13,29,18
2016年7月,33,15,29,19
2017年7月,33,17,30,20
2018年7月,35,18,29,22
2019年7月,33,15,29,20
2020年7月,34,16,29,19
2021年7月,33,18,29,22
2022年7月,31,18,28,20
2011年8月,30,13,27,18
2012年8月,31,11,26,17
2013年8月,31,9,26,18
2014年8月,30,14,27,17
2015年8月,32,15,26,17
2016年8月,33,11,27,18
2017年8月,31,7,26,17
2018年8月,36,14,26,17
2019年8月,30,14,25,18
2020年8月,31,16,27,19
2021年8月,29,14,25,18
2011年9月,26,-1,21,9
2012年9月,30,4,21,11
2013年9月,27,4,22,10
2014年9月,29,-3,22,9
2015年9月,28,4,22,11
2016年9月,27,1,21,12
2017年9月,28,1,21,11
2018年9月,27,5,21,10
2019年9月,29,3,23,12
2020年9月,27,5,20,12
2020年9月,27,5,20,12
2021年9月,28,4,22,12
2011年10月,21,-5,15,4
2012年10月,22,-6,12,1
2013年10月,26,-5,13,3
2014年10月,23,-5,14,2
2015年10月,25,-6,13,2
2016年10月,23,-10,11,0
2017年10月,21,-5,13,1
2018年10月,23,-3,14,2
2019年10月,29,-4,15,3
2020年10月,21,-5,13,2
2021年10月,23,-6,14,2
2011年11月,17,-18,2,-7
2012年11月,7,-22,-1,-8
2013年11月,13,-14,2,-5
2014年11月,14,-15,5,-5
2015年11月,16,-19,0,-7
2016年11月,6,-18,0,-8
2017年11月,16,-19,1,-7
2018年11月,17,-14,3,-5
2019年11月,12,-15,1,-7
2019年11月,12,-15,1,-7
2020年11月,15,-16,3,-6
2021年11月,17,-15,2,-5
2011年12月,-1,-25,-8,-17
2012年12月,-2,-30,-13,-22
2013年12月,3,-24,-7,-15
2014年12月,-2,-26,-9,-17
2015年12月,1,-25,-5,-14
2017年12月,-1,-23,-8,-17
2018年12月,9,-23,-6,-15
2019年12月,2,-26,-7,-16
2020年12月,-1,-25,-8,-16
2021年12月,6,-26,-5,-13
