时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,2,-12,0,-9
2012年1月,5,-13,1,-7
2013年1月,4,-13,0,-8
2014年1月,11,-7,5,-2
2015年1月,9,-6,4,-2
2016年1月,7,-15,0,-5
2017年1月,6,-8,2,-3
2018年1月,7,-12,1,-5
2019年1月,11,-8,4,-4
2020年1月,8,-5,4,-2
2021年1月,8,-16,2,-5
2022年1月,8,-6,3,-3
2011年2月,13,-10,6,-3
2012年2月,9,-12,3,-6
2013年2月,10,-12,3,-5
2014年2月,12,-8,4,-2
2015年2月,14,-5,6,-1
2016年2月,10,-5,6,-1
2017年2月,16,-5,7,0
2018年2月,13,-9,4,-3
2019年2月,15,-8,5,-2
2020年2月,14,-6,7,0
2021年2月,21,-6,9,0
2022年2月,15,-7,5,-2
2011年3月,22,-4,13,1
2012年3月,21,-5,10,0
2013年3月,18,-6,12,1
2014年3月,26,-1,15,6
2015年3月,24,-3,14,4
2016年3月,26,-2,15,5
2017年3月,20,-1,14,4
2018年3月,28,-2,13,4
2019年3月,26,0,15,4
2020年3月,26,-1,15,5
2021年3月,23,-4,15,5
2022年3月,22,-1,13,4
2011年4月,28,2,20,8
2012年4月,29,2,21,9
2013年4月,27,2,17,6
2014年4月,30,9,23,12
2015年4月,31,4,20,10
2016年4月,30,8,23,12
2017年4月,33,8,23,12
2018年4月,31,2,21,10
2019年4月,30,5,20,10
2020年4月,32,6,21,10
2021年4月,28,8,19,11
2022年4月,31,4,22,12
2011年5月,32,11,26,14
2012年5月,34,13,29,17
2013年5月,35,11,28,16
2014年5月,39,9,28,17
2015年5月,34,10,27,17
2016年5月,35,11,27,16
2017年5月,36,13,29,18
2018年5月,35,0,28,17
2019年5月,38,11,29,18
2020年5月,36,10,25,16
2021年5月,34,8,26,16
2022年5月,36,10,27,16
2011年6月,35,18,31,21
2012年6月,37,16,30,20
2013年6月,35,15,29,20
2014年6月,36,18,30,21
2015年6月,34,18,30,21
2016年6月,36,17,31,21
2017年6月,37,16,30,21
2018年6月,37,17,32,23
2019年6月,37,18,31,22
2020年6月,37,17,32,22
2021年6月,36,17,30,21
2022年6月,39,18,30,21
2011年7月,35,21,32,23
2012年7月,36,20,31,23
2013年7月,36,21,31,23
2014年7月,37,22,33,24
2015年7月,37,20,31,23
2016年7月,36,21,32,24
2017年7月,36,23,32,25
2018年7月,37,22,32,25
2019年7月,39,21,33,24
2020年7月,37,22,31,24
2021年7月,35,21,31,24
2022年7月,36,21,32,24
2011年8月,36,19,30,22
2012年8月,33,19,29,21
2013年8月,37,17,32,23
2014年8月,35,20,31,22
2015年8月,35,19,31,23
2016年8月,35,19,31,23
2017年8月,36,18,31,23
2018年8月,38,22,32,25
2019年8月,34,20,30,22
2020年8月,36,20,30,23
2021年8月,33,21,30,23
2011年9月,30,9,25,15
2012年9月,32,11,26,15
2013年9月,31,12,26,17
2014年9月,33,11,26,17
2015年9月,30,14,26,18
2016年9月,32,12,27,18
2017年9月,33,14,29,19
2018年9月,32,10,26,17
2019年9月,35,17,29,19
2020年9月,32,14,26,18
2020年9月,32,14,26,18
2021年9月,31,16,26,19
2011年10月,25,3,20,10
2012年10月,27,3,20,9
2013年10月,27,4,20,9
2014年10月,25,6,20,11
2015年10月,28,4,20,11
2016年10月,28,1,19,11
2017年10月,25,4,18,10
2018年10月,28,4,20,9
2019年10月,31,4,20,10
2020年10月,23,5,19,9
2021年10月,24,4,18,9
2011年11月,18,-4,11,2
2012年11月,17,-6,9,0
2013年11月,19,-4,12,3
2014年11月,19,-3,12,3
2015年11月,19,-8,7,1
2016年11月,18,-6,11,3
2017年11月,18,-4,10,1
2018年11月,21,0,12,3
2019年11月,19,-2,11,3
2019年11月,19,-2,11,3
2020年11月,19,-2,12,4
2021年11月,17,-3,11,2
2011年12月,6,-9,3,-4
2012年12月,4,-13,0,-7
2013年12月,12,-7,5,-2
2014年12月,9,-7,4,-3
2015年12月,7,-5,5,-1
2017年12月,8,-6,4,-3
2018年12月,10,-10,3,-3
2019年12月,10,-9,4,-2
2020年12月,6,-11,2,-4
2021年12月,13,-9,7,-1
