时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,-2,-19,-5,-15
2012年1月,2,-19,-2,-13
2013年1月,9,-19,1,-10
2014年1月,13,-15,3,-9
2015年1月,7,-14,2,-9
2016年1月,8,-22,-2,-13
2017年1月,8,-17,1,-10
2018年1月,7,-18,-1,-11
2019年1月,7,-16,0,-11
2020年1月,7,-12,2,-8
2021年1月,7,-21,1,-10
2022年1月,6,-13,1,-9
2011年2月,13,-13,5,-6
2012年2月,10,-17,1,-9
2013年2月,16,-12,6,-6
2014年2月,15,-16,3,-7
2015年2月,11,-13,5,-6
2016年2月,12,-16,3,-8
2017年2月,13,-14,6,-6
2018年2月,14,-17,4,-8
2019年2月,10,-14,3,-7
2020年2月,16,-15,7,-6
2021年2月,19,-11,10,-3
2022年2月,9,-13,2,-8
2011年3月,20,-9,8,-4
2012年3月,21,-7,10,-1
2013年3月,26,-8,16,2
2014年3月,25,-6,14,0
2015年3月,24,-7,13,0
2016年3月,26,-11,12,0
2017年3月,18,-6,10,0
2018年3月,27,-4,18,3
2019年3月,20,-3,12,0
2020年3月,22,-7,14,0
2021年3月,23,-4,14,1
2022年3月,24,-6,16,2
2011年4月,29,0,20,6
2012年4月,28,-2,20,6
2013年4月,30,-5,20,5
2014年4月,27,-1,20,7
2015年4月,30,-1,19,6
2016年4月,29,-1,21,7
2017年4月,26,1,20,7
2018年4月,29,-3,21,7
2019年4月,33,1,22,8
2020年4月,31,0,20,4
2021年4月,25,0,16,6
2022年4月,31,0,20,6
2011年5月,32,4,23,11
2012年5月,32,5,25,12
2013年5月,32,7,26,13
2014年5月,34,3,25,11
2015年5月,31,5,25,11
2016年5月,31,6,24,11
2017年5月,33,5,26,12
2018年5月,34,6,26,12
2019年5月,32,3,23,10
2020年5月,34,4,25,10
2021年5月,33,4,25,10
2022年5月,35,5,26,11
2011年6月,36,15,30,18
2012年6月,34,12,29,16
2013年6月,35,10,29,17
2014年6月,35,13,28,16
2015年6月,32,11,28,16
2016年6月,34,12,29,16
2017年6月,34,12,29,17
2018年6月,34,12,30,17
2019年6月,33,13,28,16
2020年6月,36,11,30,16
2021年6月,35,10,29,16
2022年6月,37,11,31,16
2011年7月,35,14,30,18
2012年7月,35,17,30,19
2013年7月,35,16,29,19
2014年7月,38,14,30,18
2015年7月,37,15,31,18
2016年7月,37,16,31,19
2017年7月,34,16,30,19
2018年7月,36,17,31,20
2019年7月,35,14,30,18
2020年7月,37,17,31,19
2021年7月,38,15,34,19
2022年7月,37,15,30,18
2011年8月,37,14,29,17
2012年8月,32,14,29,18
2013年8月,36,12,30,18
2014年8月,37,13,27,16
2015年8月,35,12,28,15
2016年8月,35,12,29,19
2017年8月,34,12,28,17
2018年8月,35,13,28,19
2019年8月,35,13,29,16
2020年8月,35,11,28,17
2021年8月,33,10,28,16
2011年9月,28,6,20,10
2012年9月,27,4,22,10
2013年9月,31,4,23,12
2014年9月,29,9,24,12
2015年9月,28,3,23,12
2016年9月,30,7,25,12
2017年9月,30,7,26,13
2018年9月,26,2,21,9
2019年9月,30,8,25,12
2020年9月,30,7,23,11
2020年9月,30,7,23,11
2021年9月,33,9,26,12
2011年10月,25,0,17,5
2012年10月,23,-2,17,4
2013年10月,27,0,18,5
2014年10月,26,2,20,6
2015年10月,23,-2,16,4
2016年10月,30,-2,18,6
2017年10月,23,-2,16,5
2018年10月,23,-2,16,2
2019年10月,29,-2,17,4
2020年10月,21,-1,15,2
2021年10月,28,-1,16,4
2011年11月,14,-5,9,0
2012年11月,17,-8,7,-4
2013年11月,15,-10,8,-2
2014年11月,16,-13,8,-2
2015年11月,15,-7,9,0
2016年11月,20,-11,11,0
2017年11月,19,-8,9,-2
2018年11月,17,-8,8,-2
2019年11月,17,-8,9,-2
2019年11月,17,-8,9,-2
2020年11月,16,-8,8,-2
2021年11月,16,-9,8,-4
2011年12月,6,-13,0,-9
2012年12月,5,-19,0,-9
2013年12月,9,-15,1,-9
2014年12月,8,-15,0,-10
2015年12月,10,-13,2,-7
2017年12月,7,-13,2,-9
2018年12月,11,-18,-1,-12
2019年12月,7,-15,3,-7
2020年12月,3,-20,-1,-10
2021年12月,11,-16,2,-8
