时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,8,-7,4,-3
2012年1月,9,-5,6,0
2013年1月,16,-5,8,0
2014年1月,22,-5,11,1
2015年1月,17,-3,9,0
2016年1月,17,-9,6,0
2017年1月,14,-4,8,1
2018年1月,14,-10,5,-1
2019年1月,13,-3,6,0
2020年1月,12,-3,7,0
2021年1月,17,-9,8,-1
2022年1月,14,-4,7,0
2011年2月,21,-3,10,2
2012年2月,12,-6,7,0
2013年2月,19,-5,9,2
2014年2月,19,-5,7,1
2015年2月,19,-3,10,2
2016年2月,20,-4,12,1
2017年2月,22,-3,11,2
2018年2月,18,-9,9,0
2019年2月,15,-2,6,1
2020年2月,24,-3,12,3
2021年2月,26,-1,14,3
2022年2月,20,-3,7,0
2011年3月,22,0,14,4
2012年3月,26,1,13,5
2013年3月,29,0,17,7
2014年3月,26,1,17,7
2015年3月,27,0,15,7
2016年3月,23,0,16,7
2017年3月,23,0,15,5
2018年3月,28,0,17,8
2019年3月,22,1,16,6
2020年3月,26,2,16,6
2021年3月,26,-1,15,6
2022年3月,29,1,17,7
2011年4月,35,5,23,12
2012年4月,29,7,23,13
2013年4月,31,6,22,11
2014年4月,27,9,21,12
2015年4月,31,3,21,11
2016年4月,29,10,22,14
2017年4月,30,7,23,13
2018年4月,31,5,23,13
2019年4月,31,7,22,13
2020年4月,32,5,21,9
2021年4月,30,5,19,10
2022年4月,32,4,22,11
2011年5月,35,12,27,17
2012年5月,32,15,27,18
2013年5月,34,14,27,18
2014年5月,35,11,27,18
2015年5月,31,13,26,18
2016年5月,30,12,24,17
2017年5月,34,14,28,18
2018年5月,35,13,27,19
2019年5月,33,11,26,16
2020年5月,37,13,28,18
2021年5月,33,12,26,17
2022年5月,32,9,26,15
2011年6月,35,18,29,22
2012年6月,36,18,31,22
2013年6月,35,16,29,21
2014年6月,33,19,29,21
2015年6月,34,16,29,21
2016年6月,34,18,27,21
2017年6月,35,18,29,21
2018年6月,37,17,31,22
2019年6月,35,19,30,21
2020年6月,35,18,29,22
2021年6月,34,16,30,20
2022年6月,36,18,32,22
2011年7月,36,22,32,25
2012年7月,38,23,33,26
2013年7月,37,22,34,27
2014年7月,37,20,30,24
2015年7月,37,18,30,23
2016年7月,39,0,31,24
2017年7月,33,23,30,25
2018年7月,37,23,34,26
2019年7月,38,21,32,25
2020年7月,33,19,27,22
2021年7月,36,22,30,24
2022年7月,39,23,34,25
2011年8月,35,19,30,24
2012年8月,36,20,31,24
2013年8月,39,20,35,26
2014年8月,36,20,29,22
2015年8月,37,22,31,24
2016年8月,37,19,33,25
2017年8月,37,20,32,25
2018年8月,38,21,33,25
2019年8月,37,20,32,24
2020年8月,37,20,32,24
2021年8月,35,21,30,23
2011年9月,33,13,26,19
2012年9月,31,11,26,18
2013年9月,33,14,27,19
2014年9月,32,15,26,20
2015年9月,31,15,28,19
2016年9月,35,16,28,20
2017年9月,31,17,27,20
2018年9月,33,14,28,20
2019年9月,34,14,29,19
2020年9月,34,15,27,18
2020年9月,34,15,27,18
2021年9月,35,18,29,20
2011年10月,27,9,22,13
2012年10月,27,6,23,13
2013年10月,30,6,23,13
2014年10月,29,10,24,14
2015年10月,28,9,23,13
2016年10月,29,7,20,15
2017年10月,30,5,20,13
2018年10月,28,6,23,11
2019年10月,32,7,23,13
2020年10月,29,5,20,12
2021年10月,34,6,21,13
2011年11月,23,1,18,10
2012年11月,20,-1,14,6
2013年11月,22,-3,16,6
2014年11月,20,2,15,8
2015年11月,26,-3,15,8
2016年11月,22,1,17,9
2017年11月,23,2,16,6
2018年11月,23,3,17,7
2019年11月,25,0,17,6
2020年11月,27,0,16,7
2021年11月,23,-2,16,5
2011年12月,13,-4,8,0
2012年12月,13,-6,7,0
2013年12月,17,-7,10,0
2014年12月,17,-5,9,0
2015年12月,14,-4,10,2
2017年12月,15,-4,10,0
2018年12月,16,-4,8,1
2019年12月,20,-5,11,1
2020年12月,15,-7,7,0
2021年12月,18,-6,11,0
