时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,7,-11,1,-7
2012年1月,6,-10,2,-4
2013年1月,7,-13,2,-4
2014年1月,13,-6,7,0
2015年1月,13,-6,6,-1
2016年1月,13,-16,2,-5
2017年1月,12,-8,5,-2
2018年1月,10,-10,3,-4
2019年1月,12,-7,5,-3
2020年1月,10,-8,5,-2
2021年1月,16,-18,5,-3
2022年1月,9,-6,5,-2
2011年2月,17,-7,7,-1
2012年2月,13,-10,5,-2
2013年2月,15,-10,5,-1
2014年2月,16,-10,5,-1
2015年2月,18,-7,8,0
2016年2月,16,-8,8,0
2017年2月,18,-6,9,0
2018年2月,17,-9,8,-2
2019年2月,14,-6,7,-1
2020年2月,20,-6,10,1
2021年2月,24,-5,12,2
2022年2月,17,-6,7,-1
2011年3月,23,-4,13,4
2012年3月,24,-4,12,3
2013年3月,27,-3,14,4
2014年3月,27,-1,17,8
2015年3月,27,-4,16,6
2016年3月,25,-3,16,7
2017年3月,20,-2,14,4
2018年3月,30,-2,16,7
2019年3月,26,-1,16,6
2020年3月,27,-1,16,6
2021年3月,24,-4,15,6
2022年3月,24,0,15,6
2011年4月,30,0,20,10
2012年4月,30,2,23,12
2013年4月,30,1,19,9
2014年4月,29,7,22,12
2015年4月,31,1,20,10
2016年4月,32,7,24,14
2017年4月,32,7,22,13
2018年4月,31,1,22,13
2019年4月,30,3,20,10
2020年4月,34,4,20,10
2021年4月,26,3,19,10
2022年4月,33,5,22,12
2011年5月,33,11,25,16
2012年5月,34,15,29,19
2013年5月,35,12,27,17
2014年5月,39,9,29,18
2015年5月,33,11,27,17
2016年5月,34,10,26,16
2017年5月,36,12,30,19
2018年5月,35,13,28,18
2019年5月,37,10,29,18
2020年5月,35,11,28,17
2021年5月,34,9,26,16
2022年5月,35,10,28,18
2011年6月,35,19,31,22
2012年6月,37,17,32,22
2013年6月,36,15,30,22
2014年6月,35,14,30,20
2015年6月,36,18,31,21
2016年6月,36,17,31,21
2017年6月,36,14,31,21
2018年6月,37,17,32,23
2019年6月,38,18,34,24
2020年6月,38,18,32,22
2021年6月,37,19,32,23
2022年6月,40,18,33,23
2011年7月,36,21,32,23
2012年7月,36,20,32,23
2013年7月,35,20,31,23
2014年7月,38,18,32,23
2015年7月,38,21,32,23
2016年7月,36,18,31,23
2017年7月,36,21,33,23
2018年7月,38,22,33,25
2019年7月,38,20,33,24
2020年7月,34,20,30,22
2021年7月,37,22,32,24
2022年7月,36,19,31,23
2011年8月,33,18,29,21
2012年8月,34,16,29,21
2013年8月,37,15,33,23
2014年8月,35,19,30,21
2015年8月,35,19,30,22
2016年8月,35,16,30,22
2017年8月,35,15,30,22
2018年8月,37,20,31,24
2019年8月,33,18,29,21
2020年8月,35,20,30,23
2021年8月,32,18,29,22
2011年9月,28,10,24,15
2012年9月,31,10,26,16
2013年9月,33,10,27,18
2014年9月,30,11,25,17
2015年9月,30,13,26,17
2016年9月,32,11,28,18
2017年9月,32,13,28,19
2018年9月,32,12,26,17
2019年9月,34,15,28,18
2020年9月,33,15,27,18
2020年9月,33,15,27,18
2021年9月,32,15,26,19
2011年10月,27,4,20,12
2012年10月,27,6,22,12
2013年10月,29,4,21,11
2014年10月,28,6,21,12
2015年10月,28,3,22,12
2016年10月,31,1,20,12
2017年10月,25,3,19,11
2018年10月,27,5,20,10
2019年10月,31,5,21,11
2020年10月,24,5,19,10
2021年10月,29,2,18,10
2011年11月,20,-4,12,5
2012年11月,19,-2,11,3
2013年11月,20,-6,12,3
2014年11月,19,-4,13,4
2015年11月,20,-10,9,3
2016年11月,21,-6,14,6
2017年11月,22,-3,13,3
2018年11月,21,1,14,5
2019年11月,23,-3,14,5
2019年11月,23,-3,14,5
2020年11月,21,-2,13,5
2021年11月,21,-4,13,4
2011年12月,9,-8,4,-3
2012年12月,9,-11,2,-4
2013年12月,14,-7,6,-1
2014年12月,13,-7,6,-2
2015年12月,11,-5,6,0
2017年12月,11,-6,7,-2
2018年12月,13,-10,5,-3
2019年12月,14,-9,7,-1
2020年12月,10,-12,5,-3
2021年12月,15,-10,8,0
