时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,2,-15,-1,-11
2012年1月,4,-16,0,-10
2013年1月,11,-17,2,-10
2014年1月,14,-14,4,-9
2015年1月,10,-14,4,-9
2016年1月,10,-21,1,-11
2017年1月,10,-15,3,-8
2018年1月,6,-14,1,-10
2019年1月,8,-17,2,-12
2020年1月,8,-17,3,-9
2021年1月,9,-20,3,-11
2022年1月,8,-15,4,-10
2011年2月,15,-12,6,-5
2012年2月,11,-14,3,-7
2013年2月,15,-12,6,-6
2014年2月,14,-14,4,-6
2015年2月,14,-13,6,-6
2016年2月,15,-15,5,-7
2017年2月,15,-11,7,-6
2018年2月,14,-17,6,-9
2019年2月,13,-12,5,-7
2020年2月,16,-13,8,-6
2021年2月,22,-13,11,-6
2022年2月,13,-15,4,-9
2011年3月,22,-9,11,-2
2012年3月,20,-6,10,0
2013年3月,25,-7,16,0
2014年3月,24,-5,15,0
2015年3月,23,-11,14,0
2016年3月,25,-10,13,0
2017年3月,18,-6,12,-1
2018年3月,28,-5,16,1
2019年3月,22,-6,14,-2
2020年3月,24,-7,15,0
2021年3月,22,-6,15,0
2022年3月,22,-9,14,0
2011年4月,29,-2,20,5
2012年4月,26,1,22,7
2013年4月,31,-3,19,4
2014年4月,27,2,20,7
2015年4月,30,-1,20,6
2016年4月,30,3,22,7
2017年4月,29,0,20,6
2018年4月,32,-5,21,6
2019年4月,29,-1,19,5
2020年4月,32,-4,19,2
2021年4月,26,-4,17,4
2022年4月,32,1,21,5
2011年5月,33,7,25,11
2012年5月,31,8,27,13
2013年5月,35,7,27,13
2014年5月,36,1,26,11
2015年5月,33,6,26,12
2016年5月,32,6,25,11
2017年5月,35,4,28,11
2018年5月,34,5,27,12
2019年5月,33,3,26,9
2020年5月,36,5,27,10
2021年5月,35,4,26,9
2022年5月,33,3,25,8
2011年6月,36,13,30,17
2012年6月,35,13,29,16
2013年6月,34,11,29,17
2014年6月,32,11,28,16
2015年6月,33,12,28,16
2016年6月,35,13,29,16
2017年6月,35,9,29,16
2018年6月,35,10,30,16
2019年6月,35,13,31,16
2020年6月,35,11,30,16
2021年6月,36,10,30,16
2022年6月,37,11,32,16
2011年7月,35,16,29,19
2012年7月,35,18,29,19
2013年7月,34,17,28,19
2014年7月,34,15,30,18
2015年7月,36,15,30,18
2016年7月,34,16,28,19
2017年7月,36,16,32,19
2018年7月,35,16,29,20
2019年7月,37,14,31,18
2020年7月,34,16,29,18
2021年7月,36,16,29,19
2022年7月,36,16,30,18
2011年8月,33,14,28,17
2012年8月,32,12,27,18
2013年8月,33,9,29,18
2014年8月,33,13,28,16
2015年8月,32,13,29,16
2016年8月,32,13,28,18
2017年8月,34,12,28,17
2018年8月,34,14,29,19
2019年8月,34,10,28,16
2020年8月,33,13,28,18
2021年8月,34,12,29,17
2011年9月,27,6,21,11
2012年9月,27,5,22,10
2013年9月,31,4,24,12
2014年9月,29,9,23,12
2015年9月,28,8,23,12
2016年9月,30,7,25,12
2017年9月,30,6,26,12
2018年9月,28,3,22,10
2019年9月,33,8,26,11
2020年9月,30,8,25,11
2020年9月,30,8,25,11
2021年9月,32,9,24,13
2011年10月,24,0,17,6
2012年10月,24,-2,18,4
2013年10月,27,-2,19,5
2014年10月,25,1,19,6
2015年10月,25,-2,18,5
2016年10月,28,-2,18,6
2017年10月,24,-3,16,5
2018年10月,23,-4,17,1
2019年10月,28,-2,18,5
2020年10月,21,-3,17,2
2021年10月,27,-2,15,4
2011年11月,15,-5,9,1
2012年11月,18,-7,8,-2
2013年11月,16,-9,10,-2
2014年11月,17,-10,10,-1
2015年11月,17,-12,9,0
2016年11月,19,-9,13,0
2017年11月,18,-10,10,-3
2018年11月,18,-8,11,-2
2019年11月,18,-10,11,-2
2019年11月,18,-10,11,-2
2020年11月,18,-8,11,-1
2021年11月,18,-12,10,-3
2011年12月,5,-11,1,-7
2012年12月,4,-15,0,-8
2013年12月,10,-15,4,-9
2014年12月,8,-13,2,-9
2015年12月,9,-12,4,-6
2017年12月,9,-14,4,-9
2018年12月,10,-18,2,-11
2019年12月,10,-17,5,-8
2020年12月,7,-21,1,-11
2021年12月,10,-16,5,-9
