时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,19,3,13,6
2012年1月,22,5,15,9
2013年1月,24,5,18,10
2014年1月,26,0,20,8
2015年1月,25,5,20,9
2016年1月,25,0,16,10
2017年1月,27,8,20,13
2018年1月,25,4,18,10
2019年1月,25,7,19,11
2020年1月,28,6,21,13
2021年1月,26,4,19,9
2022年1月,24,7,19,11
2011年2月,27,6,19,11
2012年2月,26,6,17,11
2013年2月,26,7,21,14
2014年2月,26,2,17,9
2015年2月,27,6,21,13
2016年2月,27,5,17,10
2017年2月,27,6,20,12
2018年2月,27,4,19,11
2019年2月,28,11,21,16
2020年2月,28,5,21,13
2021年2月,29,10,24,13
2022年2月,25,4,15,8
2011年3月,26,10,19,12
2012年3月,28,8,21,15
2013年3月,28,8,24,16
2014年3月,28,11,21,15
2015年3月,28,11,22,16
2016年3月,27,7,21,14
2017年3月,26,9,21,15
2018年3月,28,8,24,16
2019年3月,28,12,22,16
2020年3月,28,13,23,17
2021年3月,32,13,25,17
2022年3月,30,11,25,16
2011年4月,32,15,28,18
2012年4月,31,16,26,21
2013年4月,29,13,23,18
2014年4月,31,17,26,20
2015年4月,31,12,26,18
2016年4月,30,19,26,21
2017年4月,32,12,26,19
2018年4月,30,11,26,19
2019年4月,32,16,27,20
2020年4月,31,12,24,17
2021年4月,32,18,27,20
2022年4月,32,11,27,18
2011年5月,33,18,29,21
2012年5月,35,22,31,24
2013年5月,34,18,29,23
2014年5月,35,18,29,22
2015年5月,33,20,30,23
2016年5月,33,20,30,23
2017年5月,33,21,29,23
2018年5月,35,22,32,24
2019年5月,35,18,28,22
2020年5月,35,23,31,25
2021年5月,36,20,32,24
2022年5月,33,14,27,21
2011年6月,35,23,32,25
2012年6月,35,23,31,24
2013年6月,35,21,32,25
2014年6月,35,23,32,25
2015年6月,36,25,34,26
2016年6月,36,23,33,25
2017年6月,35,24,33,26
2018年6月,35,24,31,25
2019年6月,35,24,32,26
2020年6月,35,24,33,26
2021年6月,35,23,31,25
2022年6月,35,23,31,25
2011年7月,36,24,33,25
2012年7月,35,24,33,25
2013年7月,35,24,32,24
2014年7月,36,25,34,25
2015年7月,36,24,33,26
2016年7月,37,26,34,26
2017年7月,34,26,32,26
2018年7月,35,25,33,26
2019年7月,37,25,33,26
2020年7月,37,26,35,27
2021年7月,37,24,34,25
2022年7月,39,24,34,26
2011年8月,36,24,34,25
2012年8月,37,24,34,25
2013年8月,36,24,32,24
2014年8月,36,24,33,25
2015年8月,37,24,34,26
2016年8月,36,24,33,25
2017年8月,37,24,34,26
2018年8月,35,25,32,25
2019年8月,37,24,33,26
2020年8月,36,24,33,25
2021年8月,35,24,33,25
2011年9月,35,20,32,23
2012年9月,35,19,31,22
2013年9月,35,21,31,23
2014年9月,35,23,33,24
2015年9月,35,23,32,25
2016年9月,36,19,32,24
2017年9月,36,25,33,26
2018年9月,35,21,31,24
2019年9月,36,21,33,24
2020年9月,36,23,31,24
2020年9月,36,23,31,24
2021年9月,37,23,34,25
2011年10月,31,17,28,19
2012年10月,31,13,29,19
2013年10月,32,13,28,18
2014年10月,33,16,30,19
2015年10月,32,17,29,21
2016年10月,33,20,30,23
2017年10月,34,16,29,21
2018年10月,32,16,27,19
2019年10月,34,16,30,21
2020年10月,32,17,27,20
2021年10月,35,14,27,20
2011年11月,32,12,25,17
2012年11月,27,11,22,15
2013年11月,30,5,23,15
2014年11月,31,13,24,16
2015年11月,30,10,26,18
2016年11月,30,12,25,18
2017年11月,29,12,22,16
2018年11月,29,13,25,17
2019年11月,31,12,27,16
2019年11月,31,12,27,16
2020年11月,29,13,26,17
2021年11月,30,8,24,15
2011年12月,23,4,18,9
2012年12月,26,3,18,10
2013年12月,24,4,17,7
2014年12月,22,4,17,9
2015年12月,26,6,18,12
2017年12月,24,6,20,11
2018年12月,28,5,19,12
2019年12月,28,8,22,12
2020年12月,26,2,19,11
2021年12月,25,5,20,10
