时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,19,3,11,6
2012年1月,18,5,12,8
2013年1月,23,4,15,10
2014年1月,26,1,18,7
2015年1月,24,4,19,9
2016年1月,24,-1,15,10
2017年1月,26,6,19,12
2018年1月,25,4,16,10
2019年1月,23,4,15,9
2020年1月,27,7,19,12
2021年1月,25,3,18,9
2022年1月,24,5,16,10
2011年2月,27,7,18,12
2012年2月,26,6,15,10
2013年2月,28,7,19,13
2014年2月,25,2,16,10
2015年2月,32,6,20,13
2016年2月,29,3,17,8
2017年2月,26,8,19,12
2018年2月,26,4,17,11
2019年2月,30,6,17,12
2020年2月,27,9,20,13
2021年2月,29,10,23,14
2022年2月,22,4,12,7
2011年3月,25,7,17,11
2012年3月,29,8,20,14
2013年3月,32,9,25,17
2014年3月,30,11,19,14
2015年3月,32,10,21,16
2016年3月,27,9,21,14
2017年3月,29,11,20,14
2018年3月,31,9,24,16
2019年3月,31,11,22,14
2020年3月,31,11,22,16
2021年3月,33,11,23,16
2022年3月,29,11,24,16
2011年4月,31,13,26,18
2012年4月,35,16,28,21
2013年4月,33,13,25,19
2014年4月,30,16,26,21
2015年4月,34,11,27,18
2016年4月,34,17,29,21
2017年4月,35,13,26,18
2018年4月,32,11,26,18
2019年4月,35,14,28,21
2020年4月,32,13,23,16
2021年4月,33,15,25,19
2022年4月,31,11,26,17
2011年5月,34,17,29,21
2012年5月,35,21,31,23
2013年5月,35,19,30,23
2014年5月,36,17,31,23
2015年5月,36,21,31,24
2016年5月,34,15,30,22
2017年5月,33,18,30,21
2018年5月,35,20,31,24
2019年5月,35,18,29,22
2020年5月,36,22,32,24
2021年5月,34,20,31,23
2022年5月,33,15,27,20
2011年6月,35,24,32,25
2012年6月,35,23,31,25
2013年6月,36,19,32,24
2014年6月,35,23,33,25
2015年6月,37,23,33,25
2016年6月,36,22,33,25
2017年6月,36,23,32,24
2018年6月,36,23,32,25
2019年6月,36,22,32,25
2020年6月,35,22,33,26
2021年6月,36,20,32,24
2022年6月,34,23,31,24
2011年7月,36,24,33,25
2012年7月,36,23,32,25
2013年7月,35,23,32,25
2014年7月,36,23,33,25
2015年7月,37,21,32,24
2016年7月,37,24,33,25
2017年7月,33,24,31,24
2018年7月,35,24,32,25
2019年7月,35,23,32,25
2020年7月,36,25,34,26
2021年7月,36,24,34,25
2022年7月,37,23,33,25
2011年8月,36,22,33,24
2012年8月,36,21,33,25
2013年8月,36,23,32,24
2014年8月,36,22,32,24
2015年8月,36,23,33,24
2016年8月,37,23,33,25
2017年8月,36,22,32,25
2018年8月,36,24,32,25
2019年8月,37,23,33,25
2020年8月,36,23,32,24
2021年8月,37,24,33,25
2011年9月,36,17,31,22
2012年9月,34,16,31,21
2013年9月,35,17,30,22
2014年9月,35,17,32,23
2015年9月,34,20,30,23
2016年9月,36,20,32,23
2017年9月,36,24,33,25
2018年9月,36,20,32,23
2019年9月,36,21,33,24
2020年9月,36,21,31,23
2020年9月,36,21,31,23
2021年9月,36,23,33,24
2011年10月,32,15,26,18
2012年10月,32,14,29,19
2013年10月,34,12,28,18
2014年10月,34,16,29,19
2015年10月,32,15,29,18
2016年10月,36,16,30,20
2017年10月,34,15,28,19
2018年10月,32,16,27,18
2019年10月,35,15,29,20
2020年10月,32,16,25,19
2021年10月,35,15,25,19
2011年11月,30,10,27,16
2012年11月,30,11,23,16
2013年11月,31,8,23,15
2014年11月,30,13,23,16
2015年11月,31,11,24,17
2016年11月,30,10,25,17
2017年11月,29,9,22,15
2018年11月,29,12,24,16
2019年11月,30,11,25,16
2019年11月,30,11,25,16
2020年11月,28,10,24,16
2021年11月,30,11,22,15
2011年12月,23,2,18,8
2012年12月,27,3,17,11
2013年12月,24,2,17,6
2014年12月,23,3,17,8
2015年12月,23,6,17,11
2017年12月,23,4,18,10
2018年12月,28,3,17,11
2019年12月,26,9,20,11
2020年12月,22,4,17,9
2021年12月,26,4,20,11
