时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,-8,-28,-13,-21
2012年1月,-5,-25,-10,-17
2013年1月,3,-19,-5,-14
2014年1月,1,-24,-6,-14
2015年1月,2,-20,-4,-12
2016年1月,3,-20,-6,-13
2017年1月,-1,-20,-7,-14
2018年1月,-6,-28,-12,-19
2019年1月,-1,-23,-6,-14
2020年1月,-1,-19,-5,-12
2021年1月,3,-24,-8,-15
2022年1月,4,-18,-4,-12
2011年2月,-2,-19,-5,-11
2012年2月,-1,-20,-8,-14
2013年2月,4,-22,-5,-13
2014年2月,0,-21,-10,-17
2015年2月,5,-18,-2,-10
2016年2月,6,-19,-4,-12
2017年2月,2,-16,-3,-11
2018年2月,9,-22,-4,-12
2019年2月,-3,-22,-7,-14
2020年2月,8,-17,0,-8
2021年2月,9,-17,0,-8
2022年2月,3,-17,-4,-12
2011年3月,11,-17,0,-8
2012年3月,16,-13,4,-2
2013年3月,21,-8,11,1
2014年3月,17,-14,5,-3
2015年3月,20,-9,5,-2
2016年3月,21,-10,7,0
2017年3月,20,-11,1,-5
2018年3月,26,-7,11,1
2019年3月,17,-11,5,-2
2020年3月,16,-11,7,-2
2021年3月,16,-14,4,-3
2022年3月,15,-6,6,0
2011年4月,27,-6,18,8
2012年4月,27,2,18,9
2013年4月,27,-2,17,8
2014年4月,23,-4,15,5
2015年4月,32,-8,17,6
2016年4月,25,4,18,8
2017年4月,24,-2,15,5
2018年4月,29,-2,16,6
2019年4月,26,3,18,7
2020年4月,33,4,21,10
2021年4月,32,-2,16,5
2022年4月,28,2,19,8
2011年5月,32,4,22,11
2012年5月,30,6,23,13
2013年5月,31,7,21,11
2014年5月,32,6,23,12
2015年5月,32,11,23,14
2016年5月,29,7,20,11
2017年5月,34,2,24,13
2018年5月,32,2,21,10
2019年5月,30,2,19,9
2020年5月,31,5,25,14
2021年5月,34,5,24,13
2022年5月,35,12,26,16
2011年6月,33,14,28,19
2012年6月,35,16,28,19
2013年6月,34,12,26,17
2014年6月,34,9,27,17
2015年6月,34,9,27,17
2016年6月,36,14,28,19
2017年6月,34,11,28,18
2018年6月,34,13,28,18
2019年6月,35,12,27,17
2020年6月,33,11,27,16
2021年6月,35,11,27,17
2022年6月,39,12,30,19
2011年7月,38,14,29,19
2012年7月,34,15,29,20
2013年7月,34,16,28,19
2014年7月,37,15,29,19
2015年7月,42,13,32,21
2016年7月,36,16,29,20
2017年7月,36,19,31,21
2018年7月,37,16,29,20
2019年7月,36,16,31,20
2020年7月,36,15,29,19
2021年7月,38,14,32,22
2022年7月,35,15,30,19
2011年8月,34,12,28,18
2012年8月,34,12,28,18
2013年8月,35,10,28,17
2014年8月,34,14,28,18
2015年8月,38,10,27,17
2016年8月,32,14,27,19
2017年8月,36,13,27,17
2018年8月,35,11,28,18
2019年8月,37,13,30,19
2020年8月,34,11,28,18
2021年8月,35,14,27,18
2011年9月,29,7,22,12
2012年9月,31,5,23,13
2013年9月,30,2,22,13
2014年9月,34,4,22,11
2015年9月,28,0,19,10
2016年9月,32,11,26,16
2017年9月,31,1,22,11
2018年9月,27,5,20,9
2019年9月,31,5,23,13
2020年9月,31,3,20,10
2020年9月,31,3,20,10
2021年9月,32,6,24,13
2011年10月,25,-4,14,5
2012年10月,20,-1,13,4
2013年10月,28,2,16,7
2014年10月,23,-5,14,5
2015年10月,26,-3,13,4
2016年10月,20,-5,10,1
2017年10月,24,-3,12,2
2018年10月,25,-5,12,3
2019年10月,19,-3,14,4
2020年10月,21,0,12,3
2021年10月,17,-6,11,2
2011年11月,15,-5,3,-2
2012年11月,11,-14,0,-7
2013年11月,12,-8,4,-3
2014年11月,13,-18,3,-3
2015年11月,11,-5,3,-2
2016年11月,15,-17,2,-5
2017年11月,18,-7,4,-2
2018年11月,8,-14,0,-8
2019年11月,16,-15,1,-5
2019年11月,16,-15,1,-5
2020年11月,11,-13,2,-4
2021年11月,14,-12,1,-6
2011年12月,1,-20,-5,-11
2012年12月,1,-29,-8,-17
2013年12月,3,-16,-3,-9
2014年12月,0,-19,-6,-13
2015年12月,3,-16,-3,-10
2017年12月,1,-13,-3,-9
2018年12月,-1,-21,-9,-15
2019年12月,2,-16,-3,-11
2020年12月,-4,-21,-8,-15
2021年12月,3,-16,-3,-10
