时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,6,-7,3,-3
2012年1月,9,-6,5,0
2013年1月,17,-5,7,0
2014年1月,19,-3,11,1
2015年1月,18,-4,9,1
2016年1月,16,-9,6,0
2017年1月,15,-4,9,1
2018年1月,14,-8,5,-1
2019年1月,14,-3,7,0
2020年1月,12,-1,7,2
2021年1月,16,-7,8,1
2022年1月,13,-3,8,1
2011年2月,20,-4,10,2
2012年2月,11,-6,6,0
2013年2月,19,-5,9,2
2014年2月,22,-5,7,1
2015年2月,20,-4,10,2
2016年2月,21,-4,11,1
2017年2月,21,-4,10,1
2018年2月,17,-7,9,0
2019年2月,16,-2,7,1
2020年2月,24,-3,12,4
2021年2月,25,0,14,5
2022年2月,20,-3,7,1
2011年3月,22,-1,14,4
2012年3月,26,0,13,5
2013年3月,28,-1,16,6
2014年3月,25,0,16,7
2015年3月,26,0,15,7
2016年3月,21,0,16,7
2017年3月,23,1,14,5
2018年3月,27,-1,17,7
2019年3月,23,2,16,7
2020年3月,27,2,16,7
2021年3月,25,0,15,8
2022年3月,30,4,18,8
2011年4月,33,3,22,10
2012年4月,30,6,23,12
2013年4月,31,2,22,10
2014年4月,27,7,20,12
2015年4月,30,2,20,10
2016年4月,28,10,21,13
2017年4月,30,8,22,13
2018年4月,30,5,22,13
2019年4月,31,8,22,13
2020年4月,32,6,20,10
2021年4月,29,6,20,12
2022年4月,33,4,22,12
2011年5月,36,12,27,17
2012年5月,33,14,27,17
2013年5月,33,12,26,17
2014年5月,35,10,27,17
2015年5月,30,12,26,17
2016年5月,30,12,24,16
2017年5月,34,15,27,18
2018年5月,35,12,26,18
2019年5月,35,11,26,16
2020年5月,35,15,28,18
2021年5月,33,13,26,18
2022年5月,31,11,26,16
2011年6月,36,19,29,21
2012年6月,35,18,30,21
2013年6月,35,16,28,20
2014年6月,34,18,28,21
2015年6月,34,17,27,21
2016年6月,33,16,28,21
2017年6月,33,18,28,21
2018年6月,37,18,30,21
2019年6月,35,18,29,21
2020年6月,34,19,29,23
2021年6月,33,18,30,21
2022年6月,36,17,32,23
2011年7月,36,22,32,25
2012年7月,36,21,33,25
2013年7月,37,22,34,27
2014年7月,36,20,30,24
2015年7月,36,18,29,23
2016年7月,39,22,32,25
2017年7月,34,23,30,25
2018年7月,37,24,33,26
2019年7月,38,20,32,24
2020年7月,33,20,28,22
2021年7月,36,24,31,25
2022年7月,39,24,34,26
2011年8月,35,19,30,24
2012年8月,35,22,31,25
2013年8月,39,19,35,26
2014年8月,36,20,28,23
2015年8月,37,21,30,23
2016年8月,37,19,33,25
2017年8月,37,20,31,25
2018年8月,36,22,32,26
2019年8月,37,21,32,24
2020年8月,36,23,33,26
2021年8月,35,22,30,24
2011年9月,34,13,26,19
2012年9月,31,13,26,18
2013年9月,32,15,27,20
2014年9月,30,14,26,20
2015年9月,31,16,27,19
2016年9月,34,17,28,20
2017年9月,31,17,26,20
2018年9月,33,15,28,20
2019年9月,32,15,28,20
2020年9月,35,16,27,19
2020年9月,35,16,27,19
2021年9月,34,18,30,22
2011年10月,27,8,22,13
2012年10月,27,8,23,14
2013年10月,29,8,23,14
2014年10月,29,9,23,14
2015年10月,26,10,22,14
2016年10月,27,7,20,16
2017年10月,29,7,20,13
2018年10月,27,8,22,13
2019年10月,32,9,23,14
2020年10月,28,5,21,13
2021年10月,34,8,23,15
2011年11月,23,3,18,10
2012年11月,19,1,14,6
2013年11月,24,-3,17,7
2014年11月,21,3,16,8
2015年11月,25,-4,15,9
2016年11月,23,2,16,10
2017年11月,23,2,16,7
2018年11月,23,5,16,9
2019年11月,25,2,18,8
2019年11月,25,2,18,8
2020年11月,29,1,17,9
2021年11月,23,-1,17,7
2011年12月,13,-5,8,0
2012年12月,12,-6,7,0
2013年12月,17,-5,9,0
2014年12月,16,-4,9,0
2015年12月,17,-4,10,2
2017年12月,14,-4,10,1
2018年12月,18,-4,8,2
2019年12月,19,-4,11,3
2020年12月,15,-7,8,1
2021年12月,17,-5,11,2
