时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,8,-1,5,0
2012年1月,12,-2,7,3
2013年1月,19,-2,9,3
2014年1月,24,0,14,4
2015年1月,21,-1,13,4
2016年1月,18,-5,8,4
2017年1月,20,0,12,6
2018年1月,16,-3,9,2
2019年1月,16,0,9,3
2020年1月,22,1,10,5
2021年1月,20,-4,12,3
2022年1月,16,1,10,5
2011年2月,23,-1,13,6
2012年2月,13,0,7,3
2013年2月,19,-2,11,6
2014年2月,26,-3,10,4
2015年2月,22,0,14,6
2016年2月,25,-1,13,5
2017年2月,22,1,13,6
2018年2月,21,-3,12,4
2019年2月,18,1,8,4
2020年2月,27,0,14,7
2021年2月,26,6,17,9
2022年2月,23,0,8,3
2011年3月,24,2,15,7
2012年3月,25,4,14,8
2013年3月,30,2,18,11
2014年3月,28,4,17,10
2015年3月,28,2,16,10
2016年3月,26,3,17,9
2017年3月,22,5,15,9
2018年3月,30,4,19,11
2019年3月,29,3,17,9
2020年3月,26,7,17,11
2021年3月,27,6,17,11
2022年3月,29,6,20,12
2011年4月,33,5,23,15
2012年4月,29,11,23,16
2013年4月,30,8,21,14
2014年4月,29,13,23,16
2015年4月,32,6,23,14
2016年4月,27,13,23,16
2017年4月,29,10,23,15
2018年4月,30,7,25,16
2019年4月,32,10,23,15
2020年4月,32,9,22,13
2021年4月,31,11,21,15
2022年4月,33,9,23,15
2011年5月,35,14,27,19
2012年5月,31,17,26,20
2013年5月,34,17,27,20
2014年5月,31,15,26,20
2015年5月,31,13,27,20
2016年5月,33,15,25,19
2017年5月,34,17,28,20
2018年5月,35,17,29,22
2019年5月,31,15,26,19
2020年5月,36,19,29,21
2021年5月,35,18,26,20
2022年5月,31,13,25,19
2011年6月,35,19,28,23
2012年6月,35,20,29,24
2013年6月,37,19,30,24
2014年6月,34,21,29,23
2015年6月,37,20,30,24
2016年6月,37,19,30,23
2017年6月,33,19,27,22
2018年6月,36,20,31,23
2019年6月,35,19,30,23
2020年6月,35,22,30,24
2021年6月,35,19,30,24
2022年6月,35,21,29,24
2011年7月,38,24,33,27
2012年7月,37,24,34,27
2013年7月,37,25,34,27
2014年7月,37,22,33,26
2015年7月,36,19,30,24
2016年7月,38,25,33,27
2017年7月,35,24,31,25
2018年7月,38,24,34,27
2019年7月,38,21,32,25
2020年7月,37,24,33,26
2021年7月,38,24,34,27
2022年7月,39,26,35,28
2011年8月,37,22,33,26
2012年8月,36,24,33,26
2013年8月,38,24,35,27
2014年8月,36,22,31,25
2015年8月,36,23,32,25
2016年8月,37,22,34,27
2017年8月,38,24,34,27
2018年8月,37,25,34,26
2019年8月,37,24,35,28
2020年8月,37,25,35,27
2021年8月,36,24,32,26
2011年9月,35,16,28,22
2012年9月,34,17,27,21
2013年9月,35,15,29,22
2014年9月,36,20,31,23
2015年9月,33,19,28,22
2016年9月,34,18,29,22
2017年9月,36,20,30,23
2018年9月,36,19,31,23
2019年9月,37,19,32,23
2020年9月,34,18,27,21
2020年9月,34,18,27,21
2021年9月,36,22,33,25
2011年10月,30,12,23,16
2012年10月,29,11,25,17
2013年10月,32,12,25,17
2014年10月,32,15,27,18
2015年10月,29,12,25,17
2016年10月,28,12,24,18
2017年10月,35,10,23,16
2018年10月,29,13,23,15
2019年10月,36,12,26,18
2020年10月,29,13,22,16
2021年10月,36,11,24,17
2011年11月,27,4,21,13
2012年11月,22,6,15,9
2013年11月,30,2,19,10
2014年11月,24,8,18,11
2015年11月,28,4,17,12
2016年11月,25,6,19,13
2017年11月,26,8,17,11
2018年11月,23,7,17,11
2019年11月,28,5,20,11
2019年11月,28,5,20,11
2020年11月,31,7,19,12
2021年11月,23,5,18,10
2011年12月,17,1,11,4
2012年12月,17,-3,9,3
2013年12月,20,-2,12,3
2014年12月,17,-1,12,3
2015年12月,18,1,11,6
2017年12月,17,1,12,4
2018年12月,22,-2,9,5
2019年12月,25,3,14,6
2020年12月,18,-3,10,5
2021年12月,21,0,15,6
