时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,8,-9,2,-6
2012年1月,6,-9,2,-5
2013年1月,5,-11,0,-7
2014年1月,12,-8,5,-3
2015年1月,8,-6,4,-3
2016年1月,7,-14,1,-6
2017年1月,6,-10,3,-4
2018年1月,9,-10,2,-5
2019年1月,13,-10,4,-5
2020年1月,9,-8,3,-4
2021年1月,12,-16,4,-5
2022年1月,8,-8,4,-4
2011年2月,13,-7,6,-2
2012年2月,9,-10,5,-3
2013年2月,10,-10,4,-3
2014年2月,10,-8,3,-2
2015年2月,15,-5,8,-1
2016年2月,13,-5,8,-1
2017年2月,17,-6,8,-1
2018年2月,14,-8,6,-3
2019年2月,12,-8,5,-3
2020年2月,16,-6,8,0
2021年2月,27,-7,12,0
2022年2月,18,-8,6,-3
2011年3月,23,-3,15,3
2012年3月,23,-3,12,2
2013年3月,27,-2,14,3
2014年3月,25,0,16,6
2015年3月,25,-4,16,4
2016年3月,26,-3,16,4
2017年3月,20,-1,15,4
2018年3月,31,-2,15,5
2019年3月,26,1,17,4
2020年3月,28,-1,16,5
2021年3月,24,-7,15,5
2022年3月,23,-2,15,4
2011年4月,29,4,22,10
2012年4月,29,5,23,11
2013年4月,29,1,19,8
2014年4月,29,8,22,12
2015年4月,32,4,22,11
2016年4月,33,8,23,12
2017年4月,34,7,23,12
2018年4月,33,2,21,11
2019年4月,30,2,20,10
2020年4月,35,3,21,9
2021年4月,28,5,20,10
2022年4月,33,6,23,11
2011年5月,35,11,27,15
2012年5月,35,15,29,18
2013年5月,36,12,27,17
2014年5月,40,8,29,17
2015年5月,34,9,27,16
2016年5月,35,11,27,16
2017年5月,36,14,30,18
2018年5月,33,11,28,17
2019年5月,39,11,29,17
2020年5月,36,11,27,16
2021年5月,36,9,27,16
2022年5月,37,8,27,15
2011年6月,38,17,32,22
2012年6月,38,17,32,21
2013年6月,37,16,30,21
2014年6月,36,18,30,21
2015年6月,35,18,31,21
2016年6月,37,17,31,21
2017年6月,36,15,30,20
2018年6月,39,17,33,22
2019年6月,38,18,33,22
2020年6月,39,19,33,22
2021年6月,39,18,32,21
2022年6月,40,17,33,22
2011年7月,36,20,32,23
2012年7月,37,21,32,24
2013年7月,38,21,31,23
2014年7月,37,19,32,23
2015年7月,40,20,32,23
2016年7月,35,20,31,23
2017年7月,37,22,34,25
2018年7月,38,21,32,24
2019年7月,39,20,33,23
2020年7月,34,20,29,22
2021年7月,39,20,31,23
2022年7月,37,20,31,23
2011年8月,35,18,29,22
2012年8月,34,17,29,21
2013年8月,37,16,32,23
2014年8月,35,19,31,21
2015年8月,34,18,30,22
2016年8月,34,19,30,22
2017年8月,37,16,30,22
2018年8月,37,20,31,23
2019年8月,35,19,30,21
2020年8月,35,19,29,22
2021年8月,33,16,29,21
2011年9月,29,9,24,15
2012年9月,29,11,26,15
2013年9月,33,11,26,17
2014年9月,32,12,25,17
2015年9月,30,14,25,16
2016年9月,33,11,27,17
2017年9月,34,13,28,18
2018年9月,33,11,26,17
2019年9月,35,17,28,18
2020年9月,33,15,27,17
2020年9月,33,15,27,17
2021年9月,32,14,26,17
2011年10月,25,5,20,10
2012年10月,27,4,22,9
2013年10月,26,5,20,10
2014年10月,27,6,20,11
2015年10月,28,4,20,11
2016年10月,28,3,19,11
2017年10月,25,2,17,10
2018年10月,27,5,20,9
2019年10月,30,5,20,10
2020年10月,26,4,20,9
2021年10月,25,3,18,8
2011年11月,17,-4,11,3
2012年11月,16,-4,10,0
2013年11月,21,-4,12,2
2014年11月,21,-3,12,3
2015年11月,20,-8,7,1
2016年11月,18,-5,11,2
2017年11月,21,-5,12,1
2018年11月,17,-1,12,2
2019年11月,20,-5,11,2
2019年11月,20,-5,11,2
2020年11月,21,-3,13,3
2021年11月,22,-4,13,2
2011年12月,10,-6,4,-3
2012年12月,7,-10,1,-5
2013年12月,14,-7,6,-2
2014年12月,10,-6,5,-3
2015年12月,9,-5,5,-1
2017年12月,11,-7,6,-2
2018年12月,10,-11,4,-5
2019年12月,14,-9,5,-3
2020年12月,11,-9,5,-4
2021年12月,14,-12,7,-3
