时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,9,-8,4,-5
2012年1月,8,-7,4,-3
2013年1月,13,-8,5,-3
2014年1月,15,-5,9,0
2015年1月,16,-4,8,0
2016年1月,16,-11,5,-3
2017年1月,14,-6,7,-1
2018年1月,12,-10,4,-4
2019年1月,12,-7,6,-3
2020年1月,13,-5,6,-1
2021年1月,16,-11,8,-2
2022年1月,13,-4,5,-1
2011年2月,17,-6,8,-1
2012年2月,13,-7,6,-1
2013年2月,16,-7,6,0
2014年2月,14,-7,5,0
2015年2月,16,-5,10,1
2016年2月,17,-5,10,0
2017年2月,21,-6,11,0
2018年2月,20,-6,10,0
2019年2月,14,-6,7,-1
2020年2月,19,-2,12,1
2021年2月,27,-3,14,2
2022年2月,20,-4,8,0
2011年3月,22,-2,15,3
2012年3月,23,0,13,4
2013年3月,28,-1,16,6
2014年3月,27,1,18,7
2015年3月,25,-1,16,6
2016年3月,25,-1,17,6
2017年3月,21,-1,15,4
2018年3月,31,-1,17,6
2019年3月,26,0,18,5
2020年3月,28,-1,17,7
2021年3月,27,-1,16,6
2022年3月,25,2,17,6
2011年4月,35,3,23,10
2012年4月,30,6,23,12
2013年4月,33,2,21,10
2014年4月,29,7,22,12
2015年4月,32,3,21,11
2016年4月,32,8,23,13
2017年4月,33,7,23,12
2018年4月,31,3,23,12
2019年4月,31,4,21,11
2020年4月,36,3,22,10
2021年4月,32,6,21,11
2022年4月,35,5,23,12
2011年5月,36,11,26,16
2012年5月,33,16,28,18
2013年5月,36,15,27,18
2014年5月,39,9,29,17
2015年5月,32,13,27,17
2016年5月,31,12,26,16
2017年5月,37,13,30,18
2018年5月,35,12,28,17
2019年5月,38,13,29,17
2020年5月,39,13,30,18
2021年5月,38,11,29,17
2022年5月,38,9,28,16
2011年6月,39,19,32,22
2012年6月,38,19,32,22
2013年6月,38,17,31,22
2014年6月,38,18,31,22
2015年6月,37,19,30,21
2016年6月,37,17,31,21
2017年6月,37,14,31,21
2018年6月,37,16,33,22
2019年6月,39,19,33,22
2020年6月,40,17,31,22
2021年6月,39,19,34,23
2022年6月,40,20,35,24
2011年7月,37,22,33,24
2012年7月,36,22,32,24
2013年7月,37,23,31,25
2014年7月,39,21,33,23
2015年7月,38,20,32,23
2016年7月,37,21,32,24
2017年7月,38,24,34,25
2018年7月,39,22,33,25
2019年7月,39,21,34,25
2020年7月,37,19,30,22
2021年7月,38,21,32,24
2022年7月,38,20,31,23
2011年8月,35,18,29,21
2012年8月,35,16,30,22
2013年8月,39,17,34,24
2014年8月,38,17,30,21
2015年8月,36,20,31,22
2016年8月,36,18,31,23
2017年8月,37,16,31,23
2018年8月,36,21,32,24
2019年8月,35,20,31,23
2020年8月,35,21,31,24
2021年8月,35,18,30,22
2011年9月,31,11,22,15
2012年9月,30,12,27,16
2013年9月,36,13,28,18
2014年9月,31,13,24,17
2015年9月,30,13,26,17
2016年9月,35,13,29,19
2017年9月,33,16,27,18
2018年9月,35,13,26,17
2019年9月,36,16,28,18
2020年9月,35,15,29,18
2020年9月,35,15,29,18
2021年9月,33,15,27,19
2011年10月,28,5,21,11
2012年10月,28,6,23,12
2013年10月,32,6,23,11
2014年10月,28,9,22,12
2015年10月,28,6,22,12
2016年10月,31,4,19,12
2017年10月,24,5,18,11
2018年10月,28,7,22,11
2019年10月,32,7,21,12
2020年10月,27,6,19,11
2021年10月,31,4,19,11
2011年11月,18,-1,13,6
2012年11月,19,0,13,3
2013年11月,22,-1,14,4
2014年11月,19,-2,14,5
2015年11月,20,-7,10,3
2016年11月,24,-4,15,6
2017年11月,24,-2,14,4
2018年11月,22,1,14,5
2019年11月,23,-2,15,5
2019年11月,23,-2,15,5
2020年11月,23,-1,15,6
2021年11月,22,-2,15,5
2011年12月,10,-5,6,-1
2012年12月,12,-7,4,-3
2013年12月,15,-5,9,0
2014年12月,16,-5,8,0
2015年12月,14,-4,8,0
2017年12月,13,-4,9,-1
2018年12月,16,-8,6,-1
2019年12月,16,-7,9,0
2020年12月,12,-7,7,-2
2021年12月,18,-7,10,0
