时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,8,-5,4,-1
2012年1月,10,-2,6,2
2013年1月,19,-2,8,2
2014年1月,24,-2,12,2
2015年1月,20,-2,11,3
2016年1月,18,-9,7,2
2017年1月,20,-3,10,4
2018年1月,16,-5,8,1
2019年1月,17,0,8,2
2020年1月,23,1,9,4
2021年1月,21,-5,10,2
2022年1月,15,-1,9,3
2011年2月,21,-2,11,3
2012年2月,13,-2,7,2
2013年2月,21,-2,9,3
2014年2月,24,-3,9,3
2015年2月,21,-2,11,4
2016年2月,24,-3,12,3
2017年2月,21,-1,12,3
2018年2月,21,-3,10,2
2019年2月,18,1,8,4
2020年2月,25,-1,13,5
2021年2月,27,2,15,7
2022年2月,20,-1,7,2
2011年3月,22,0,14,5
2012年3月,26,2,14,6
2013年3月,30,0,17,7
2014年3月,28,2,17,8
2015年3月,28,2,16,8
2016年3月,25,0,17,8
2017年3月,22,2,15,7
2018年3月,28,1,18,9
2019年3月,29,2,16,8
2020年3月,27,4,17,9
2021年3月,27,4,16,9
2022年3月,29,2,18,9
2011年4月,34,5,22,12
2012年4月,30,8,24,14
2013年4月,31,5,22,12
2014年4月,27,8,21,13
2015年4月,34,6,22,13
2016年4月,29,12,22,14
2017年4月,31,6,23,13
2018年4月,32,6,24,14
2019年4月,33,8,23,14
2020年4月,33,7,21,11
2021年4月,31,6,20,13
2022年4月,33,4,22,13
2011年5月,36,12,27,18
2012年5月,33,16,26,18
2013年5月,34,13,27,19
2014年5月,34,12,27,18
2015年5月,31,13,26,18
2016年5月,31,12,25,18
2017年5月,34,16,28,18
2018年5月,37,13,28,20
2019年5月,33,12,26,17
2020年5月,35,16,28,19
2021年5月,35,15,27,19
2022年5月,30,12,24,16
2011年6月,36,20,29,22
2012年6月,34,17,28,22
2013年6月,36,18,28,22
2014年6月,33,19,29,21
2015年6月,36,18,29,22
2016年6月,37,17,29,22
2017年6月,32,19,27,21
2018年6月,37,18,30,22
2019年6月,35,18,29,21
2020年6月,37,19,29,23
2021年6月,34,18,29,22
2022年6月,37,18,30,22
2011年7月,38,25,34,26
2012年7月,38,24,35,27
2013年7月,40,25,37,27
2014年7月,38,22,32,25
2015年7月,38,18,30,23
2016年7月,39,24,34,26
2017年7月,36,25,33,25
2018年7月,38,24,34,26
2019年7月,38,21,31,24
2020年7月,37,21,30,24
2021年7月,37,24,32,25
2022年7月,40,25,36,27
2011年8月,37,22,33,25
2012年8月,38,22,32,25
2013年8月,41,21,36,27
2014年8月,36,21,30,24
2015年8月,39,22,31,24
2016年8月,38,21,34,26
2017年8月,38,24,35,26
2018年8月,37,23,33,25
2019年8月,37,21,33,25
2020年8月,38,22,35,26
2021年8月,36,22,31,24
2011年9月,34,15,28,21
2012年9月,33,13,27,19
2013年9月,35,17,29,21
2014年9月,32,17,28,21
2015年9月,32,17,27,20
2016年9月,35,19,28,21
2017年9月,35,16,28,22
2018年9月,35,17,29,22
2019年9月,33,16,28,20
2020年9月,35,17,27,20
2020年9月,35,17,27,20
2021年9月,35,19,30,22
2011年10月,27,11,22,15
2012年10月,29,9,24,15
2013年10月,31,9,23,15
2014年10月,30,11,24,16
2015年10月,27,12,23,15
2016年10月,30,13,23,18
2017年10月,33,10,23,15
2018年10月,27,10,23,14
2019年10月,32,10,24,16
2020年10月,28,9,22,15
2021年10月,34,10,24,16
2011年11月,24,5,19,12
2012年11月,23,4,15,8
2013年11月,29,-1,17,9
2014年11月,24,5,18,10
2015年11月,28,-2,16,11
2016年11月,25,7,18,12
2017年11月,24,4,17,10
2018年11月,22,6,17,11
2019年11月,26,4,18,10
2019年11月,26,4,18,10
2020年11月,28,6,18,11
2021年11月,23,2,17,9
2011年12月,16,-2,9,2
2012年12月,18,-4,9,3
2013年12月,19,-4,10,2
2014年12月,17,-2,10,2
2015年12月,18,-2,11,4
2017年12月,16,-2,11,3
2018年12月,20,-1,10,4
2019年12月,23,1,12,4
2020年12月,15,-4,9,3
2021年12月,18,-1,12,4
