时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,23,7,16,12
2012年1月,27,10,19,15
2013年1月,26,13,20,15
2014年1月,26,11,21,14
2015年1月,27,10,21,15
2016年1月,26,5,20,16
2017年1月,26,14,22,18
2018年1月,27,9,20,16
2019年1月,26,11,22,16
2020年1月,28,10,23,17
2021年1月,24,5,18,13
2022年1月,26,14,22,17
2011年2月,29,11,22,16
2012年2月,29,12,21,16
2013年2月,30,15,25,19
2014年2月,28,9,22,15
2015年2月,33,13,24,18
2016年2月,33,9,20,14
2017年2月,32,11,21,16
2018年2月,27,8,20,15
2019年2月,33,17,27,20
2020年2月,30,12,23,18
2021年2月,30,14,23,16
2022年2月,27,8,19,14
2011年3月,28,12,20,15
2012年3月,34,13,25,19
2013年3月,33,14,28,20
2014年3月,35,16,26,20
2015年3月,34,18,28,21
2016年3月,33,13,25,18
2017年3月,32,15,27,20
2018年3月,35,14,26,19
2019年3月,35,19,28,21
2020年3月,35,19,29,21
2021年3月,37,15,27,21
2022年3月,34,15,27,20
2011年4月,33,17,27,20
2012年4月,36,20,31,23
2013年4月,35,18,29,22
2014年4月,34,21,30,23
2015年4月,37,16,30,22
2016年4月,36,22,32,24
2017年4月,36,17,29,22
2018年4月,36,15,28,21
2019年4月,38,21,33,25
2020年4月,36,18,27,21
2021年4月,36,22,30,23
2022年4月,36,15,28,21
2011年5月,35,22,31,24
2012年5月,36,24,33,25
2013年5月,36,22,32,25
2014年5月,36,22,33,25
2015年5月,37,25,34,26
2016年5月,37,20,32,25
2017年5月,36,24,31,24
2018年5月,36,24,33,25
2019年5月,38,24,32,25
2020年5月,38,23,33,25
2021年5月,38,23,34,25
2022年5月,34,18,29,23
2011年6月,35,24,33,25
2012年6月,36,24,32,25
2013年6月,36,24,32,25
2014年6月,37,25,33,26
2015年6月,36,25,34,26
2016年6月,37,24,34,25
2017年6月,37,26,34,26
2018年6月,36,22,32,26
2019年6月,37,25,35,26
2020年6月,37,25,35,26
2021年6月,38,25,34,26
2022年6月,36,25,34,25
2011年7月,35,24,32,25
2012年7月,35,24,32,25
2013年7月,34,24,32,24
2014年7月,35,24,33,25
2015年7月,39,24,32,25
2016年7月,36,25,34,26
2017年7月,35,25,32,25
2018年7月,37,24,32,25
2019年7月,37,25,34,26
2020年7月,37,25,35,26
2021年7月,38,24,33,26
2022年7月,36,23,32,25
2011年8月,34,24,32,25
2012年8月,34,24,32,25
2013年8月,34,24,31,25
2014年8月,35,24,33,25
2015年8月,37,24,33,25
2016年8月,34,24,31,25
2017年8月,36,25,33,26
2018年8月,34,23,31,25
2019年8月,35,25,32,25
2020年8月,34,24,31,25
2021年8月,36,23,33,25
2011年9月,34,23,30,24
2012年9月,33,22,30,24
2013年9月,33,23,30,24
2014年9月,34,23,31,24
2015年9月,35,24,32,25
2016年9月,34,24,31,25
2017年9月,35,25,32,25
2018年9月,34,23,31,24
2019年9月,35,21,31,24
2020年9月,34,25,32,25
2020年9月,34,25,32,25
2021年9月,33,23,31,25
2011年10月,30,21,28,23
2012年10月,31,20,29,23
2013年10月,30,19,28,22
2014年10月,33,21,29,23
2015年10月,32,19,29,22
2016年10月,32,23,29,24
2017年10月,32,19,28,23
2018年10月,31,19,29,22
2019年10月,33,20,29,23
2020年10月,31,19,27,23
2021年10月,32,19,27,22
2011年11月,28,15,25,20
2012年11月,31,20,27,22
2013年11月,29,15,25,20
2014年11月,30,20,26,22
2015年11月,32,19,28,23
2016年11月,30,16,27,22
2017年11月,30,16,24,20
2018年11月,30,19,27,22
2019年11月,29,17,26,20
2019年11月,29,17,26,20
2020年11月,28,17,25,21
2021年11月,30,15,25,19
2011年12月,24,9,20,15
2012年12月,31,9,23,17
2013年12月,24,10,19,14
2014年12月,25,12,20,16
2015年12月,30,13,23,18
2017年12月,24,10,21,16
2018年12月,29,10,23,18
2019年12月,28,13,22,18
2020年12月,27,10,20,16
2021年12月,25,13,21,16
