时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,8,-5,4,-2
2012年1月,10,-5,6,0
2013年1月,16,-4,9,0
2014年1月,24,-4,13,1
2015年1月,17,-3,11,1
2016年1月,16,-8,7,0
2017年1月,16,-3,10,1
2018年1月,14,-7,6,-1
2019年1月,15,-5,7,0
2020年1月,13,-1,7,1
2021年1月,18,-7,9,0
2022年1月,15,-2,8,1
2011年2月,20,-4,12,2
2012年2月,11,-4,7,1
2013年2月,18,-4,10,2
2014年2月,23,-6,8,2
2015年2月,20,-3,12,2
2016年2月,21,-4,13,2
2017年2月,22,-2,12,3
2018年2月,18,-5,11,1
2019年2月,14,-1,6,1
2020年2月,25,-3,13,4
2021年2月,27,2,15,5
2022年2月,18,-1,8,1
2011年3月,24,2,15,5
2012年3月,26,1,14,5
2013年3月,29,1,19,8
2014年3月,28,3,17,8
2015年3月,28,1,16,7
2016年3月,24,0,17,7
2017年3月,24,0,15,7
2018年3月,28,0,18,8
2019年3月,25,1,17,7
2020年3月,27,3,17,8
2021年3月,26,2,16,8
2022年3月,29,3,18,9
2011年4月,34,4,23,13
2012年4月,30,9,24,13
2013年4月,30,5,22,12
2014年4月,28,10,22,13
2015年4月,32,5,21,12
2016年4月,29,10,23,15
2017年4月,29,5,23,13
2018年4月,30,4,24,13
2019年4月,32,7,22,13
2020年4月,30,5,22,11
2021年4月,30,9,19,12
2022年4月,32,7,23,13
2011年5月,35,11,27,17
2012年5月,31,15,26,18
2013年5月,34,13,27,18
2014年5月,33,12,27,17
2015年5月,31,12,26,18
2016年5月,32,12,25,17
2017年5月,34,14,28,18
2018年5月,35,16,27,19
2019年5月,31,12,26,16
2020年5月,35,11,28,18
2021年5月,32,14,26,18
2022年5月,32,11,26,17
2011年6月,34,19,28,22
2012年6月,35,18,31,22
2013年6月,36,16,30,22
2014年6月,34,19,29,21
2015年6月,35,18,29,22
2016年6月,35,17,28,21
2017年6月,33,17,29,22
2018年6月,36,18,31,22
2019年6月,35,18,30,21
2020年6月,34,20,29,23
2021年6月,35,16,31,22
2022年6月,35,21,31,23
2011年7月,37,22,33,25
2012年7月,36,22,34,26
2013年7月,37,24,34,27
2014年7月,38,21,32,24
2015年7月,35,19,30,23
2016年7月,38,22,32,25
2017年7月,34,23,31,25
2018年7月,38,25,34,27
2019年7月,37,21,33,25
2020年7月,34,21,29,23
2021年7月,36,24,32,25
2022年7月,37,23,33,26
2011年8月,36,20,31,24
2012年8月,36,21,32,25
2013年8月,38,20,35,27
2014年8月,36,20,30,23
2015年8月,36,21,32,23
2016年8月,38,18,33,25
2017年8月,37,20,32,25
2018年8月,38,22,34,25
2019年8月,38,20,35,25
2020年8月,37,20,34,25
2021年8月,37,21,31,24
2011年9月,34,10,27,19
2012年9月,33,12,28,18
2013年9月,34,14,28,19
2014年9月,33,16,28,20
2015年9月,33,16,28,19
2016年9月,34,16,30,20
2017年9月,32,19,27,20
2018年9月,35,15,29,20
2019年9月,37,15,31,19
2020年9月,34,15,26,18
2020年9月,34,15,26,18
2021年9月,36,19,32,22
2011年10月,28,9,22,13
2012年10月,27,6,23,14
2013年10月,32,8,24,13
2014年10月,29,11,24,14
2015年10月,28,8,24,13
2016年10月,30,7,21,15
2017年10月,31,7,21,13
2018年10月,29,7,23,11
2019年10月,36,7,23,14
2020年10月,26,9,20,12
2021年10月,36,7,22,13
2011年11月,24,0,19,9
2012年11月,20,2,15,5
2013年11月,25,-2,17,6
2014年11月,22,0,16,7
2015年11月,24,-2,15,8
2016年11月,22,-1,17,9
2017年11月,24,3,17,7
2018年11月,25,1,17,7
2019年11月,26,1,17,7
2019年11月,26,1,17,7
2020年11月,26,1,17,8
2021年11月,23,0,17,6
2011年12月,12,-3,9,0
2012年12月,14,-6,8,0
2013年12月,19,-5,12,0
2014年12月,17,-4,10,0
2015年12月,15,-4,10,2
2017年12月,16,-4,12,0
2018年12月,17,-7,8,1
2019年12月,18,-1,12,2
2020年12月,16,-6,8,1
2021年12月,19,-3,13,1
