时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,10,-2,4,0
2012年1月,10,-2,5,2
2013年1月,20,-3,9,3
2014年1月,25,1,14,5
2015年1月,20,-1,11,4
2016年1月,17,-5,7,3
2017年1月,20,0,11,5
2018年1月,15,-4,7,2
2019年1月,16,-2,7,2
2020年1月,16,0,9,3
2021年1月,21,-4,11,2
2022年1月,15,-1,8,3
2011年2月,23,1,13,5
2012年2月,13,1,7,3
2013年2月,20,-2,10,5
2014年2月,26,-3,9,3
2015年2月,21,1,12,6
2016年2月,23,-1,13,5
2017年2月,24,0,12,5
2018年2月,21,-1,13,4
2019年2月,20,0,7,3
2020年2月,26,-1,14,7
2021年2月,26,4,16,7
2022年2月,21,0,7,2
2011年3月,25,3,14,7
2012年3月,26,4,13,7
2013年3月,29,2,19,11
2014年3月,27,5,17,10
2015年3月,29,3,15,10
2016年3月,25,2,17,10
2017年3月,23,5,14,9
2018年3月,28,4,19,11
2019年3月,30,4,17,9
2020年3月,28,6,17,10
2021年3月,30,4,17,10
2022年3月,30,5,19,11
2011年4月,33,5,23,15
2012年4月,30,12,23,16
2013年4月,30,9,21,14
2014年4月,29,13,22,15
2015年4月,31,5,21,13
2016年4月,28,11,22,16
2017年4月,30,9,23,14
2018年4月,31,7,24,16
2019年4月,33,9,23,15
2020年4月,33,6,22,13
2021年4月,32,10,19,13
2022年4月,33,7,23,14
2011年5月,36,12,27,19
2012年5月,31,17,26,20
2013年5月,35,17,27,20
2014年5月,31,14,26,19
2015年5月,30,11,26,19
2016年5月,33,13,25,18
2017年5月,35,16,28,19
2018年5月,35,18,29,22
2019年5月,32,14,25,18
2020年5月,34,15,28,20
2021年5月,34,15,26,19
2022年5月,32,11,25,17
2011年6月,35,18,29,23
2012年6月,35,19,30,24
2013年6月,37,18,31,24
2014年6月,35,22,29,23
2015年6月,37,20,30,24
2016年6月,36,17,30,23
2017年6月,33,18,27,22
2018年6月,36,20,31,24
2019年6月,36,20,30,23
2020年6月,36,22,30,24
2021年6月,36,15,31,23
2022年6月,36,20,31,23
2011年7月,38,23,34,27
2012年7月,37,24,34,27
2013年7月,39,28,36,28
2014年7月,38,23,33,25
2015年7月,37,20,30,24
2016年7月,39,22,34,27
2017年7月,36,23,32,25
2018年7月,38,24,35,28
2019年7月,38,21,33,26
2020年7月,36,23,32,25
2021年7月,37,24,34,26
2022年7月,38,24,35,26
2011年8月,37,22,32,25
2012年8月,36,21,32,25
2013年8月,40,24,35,28
2014年8月,37,21,30,24
2015年8月,36,22,31,25
2016年8月,37,19,33,26
2017年8月,39,22,34,27
2018年8月,37,22,34,27
2019年8月,38,23,35,27
2020年8月,37,23,35,26
2021年8月,38,22,33,25
2011年9月,36,13,27,21
2012年9月,36,16,28,20
2013年9月,35,14,28,21
2014年9月,35,16,28,21
2015年9月,34,20,29,22
2016年9月,35,15,29,22
2017年9月,36,20,29,22
2018年9月,36,17,29,22
2019年9月,38,18,31,21
2020年9月,35,17,25,20
2020年9月,35,17,25,20
2021年9月,37,20,34,24
2011年10月,30,12,23,16
2012年10月,29,13,23,16
2013年10月,33,11,25,16
2014年10月,31,12,25,16
2015年10月,29,11,24,16
2016年10月,30,10,21,16
2017年10月,35,9,21,15
2018年10月,29,12,23,15
2019年10月,36,9,24,16
2020年10月,27,11,20,14
2021年10月,37,10,21,15
2011年11月,25,3,20,12
2012年11月,24,6,15,9
2013年11月,31,4,18,10
2014年11月,20,8,16,11
2015年11月,28,3,15,10
2016年11月,25,2,17,11
2017年11月,26,5,16,10
2018年11月,25,6,17,10
2019年11月,27,4,19,10
2019年11月,27,4,19,10
2020年11月,28,5,17,10
2021年11月,22,3,17,9
2011年12月,15,1,10,3
2012年12月,17,-2,8,3
2013年12月,21,-1,12,4
2014年12月,18,-1,11,3
2015年12月,15,0,10,5
2017年12月,17,-1,12,5
2018年12月,18,-4,8,4
2019年12月,21,1,13,4
2020年12月,18,-4,9,3
2021年12月,21,-1,13,4
