时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,19,5,15,9
2012年1月,21,6,16,11
2013年1月,23,10,18,13
2014年1月,24,8,19,12
2015年1月,23,9,19,13
2016年1月,23,2,17,12
2017年1月,25,11,20,15
2018年1月,23,6,18,13
2019年1月,24,9,19,14
2020年1月,25,9,20,15
2021年1月,25,7,18,12
2022年1月,22,10,19,15
2011年2月,23,11,19,13
2012年2月,23,8,17,13
2013年2月,26,12,22,17
2014年2月,25,5,17,12
2015年2月,24,10,20,15
2016年2月,24,8,17,12
2017年2月,24,9,19,14
2018年2月,26,5,18,13
2019年2月,26,14,22,17
2020年2月,25,9,20,15
2021年2月,24,13,21,16
2022年2月,22,8,16,12
2011年3月,26,11,19,14
2012年3月,26,10,20,16
2013年3月,29,12,24,18
2014年3月,28,13,21,16
2015年3月,27,14,22,18
2016年3月,26,10,20,15
2017年3月,25,12,21,16
2018年3月,27,12,23,17
2019年3月,27,15,22,18
2020年3月,27,16,23,19
2021年3月,30,15,23,19
2022年3月,28,14,24,18
2011年4月,29,15,26,19
2012年4月,29,18,25,21
2013年4月,30,15,24,20
2014年4月,29,17,25,21
2015年4月,30,16,26,20
2016年4月,29,19,25,21
2017年4月,31,16,26,21
2018年4月,30,15,26,21
2019年4月,31,20,26,22
2020年4月,30,15,23,18
2021年4月,29,19,25,21
2022年4月,31,13,25,20
2011年5月,33,21,28,23
2012年5月,32,24,29,25
2013年5月,35,19,29,24
2014年5月,35,18,29,24
2015年5月,33,23,30,25
2016年5月,33,22,29,24
2017年5月,32,22,29,23
2018年5月,33,0,30,24
2019年5月,32,19,27,23
2020年5月,33,22,30,25
2021年5月,33,23,30,25
2022年5月,30,16,26,22
2011年6月,33,24,31,25
2012年6月,33,24,30,25
2013年6月,34,24,31,26
2014年6月,35,25,32,27
2015年6月,35,25,33,27
2016年6月,33,25,31,27
2017年6月,34,25,32,27
2018年6月,33,24,30,25
2019年6月,33,24,31,26
2020年6月,33,25,31,26
2021年6月,34,23,30,26
2022年6月,33,24,30,25
2011年7月,35,24,31,26
2012年7月,34,25,31,26
2013年7月,34,24,31,26
2014年7月,35,26,33,27
2015年7月,36,25,32,26
2016年7月,36,26,32,27
2017年7月,33,24,31,26
2018年7月,34,25,31,26
2019年7月,35,25,31,26
2020年7月,34,26,32,27
2021年7月,33,25,31,27
2022年7月,36,24,32,27
2011年8月,35,25,32,26
2012年8月,35,24,32,26
2013年8月,34,24,31,26
2014年8月,36,25,32,26
2015年8月,35,24,32,27
2016年8月,35,24,31,26
2017年8月,36,25,32,27
2018年8月,34,24,31,25
2019年8月,34,24,31,26
2020年8月,33,24,30,26
2021年8月,33,25,30,26
2011年9月,33,22,30,24
2012年9月,33,22,30,24
2013年9月,34,24,30,25
2014年9月,34,25,32,26
2015年9月,34,25,31,26
2016年9月,34,21,30,25
2017年9月,36,25,32,26
2018年9月,33,22,30,24
2019年9月,34,24,31,25
2020年9月,34,24,30,25
2020年9月,34,24,30,25
2021年9月,35,25,31,26
2011年10月,31,19,27,22
2012年10月,31,16,29,22
2013年10月,31,20,28,22
2014年10月,31,21,29,23
2015年10月,31,18,28,23
2016年10月,32,21,27,24
2017年10月,33,19,29,23
2018年10月,30,18,27,21
2019年10月,34,19,28,23
2020年10月,30,20,27,22
2021年10月,32,17,27,22
2011年11月,30,16,25,19
2012年11月,27,14,23,19
2013年11月,29,11,23,18
2014年11月,29,16,24,19
2015年11月,29,13,25,20
2016年11月,30,15,26,20
2017年11月,28,14,23,19
2018年11月,28,16,24,19
2019年11月,29,16,25,19
2019年11月,29,16,25,19
2020年11月,29,16,25,20
2021年11月,27,13,23,18
2011年12月,22,8,19,12
2012年12月,26,7,19,14
2013年12月,24,8,18,12
2014年12月,23,9,17,12
2015年12月,27,10,19,14
2017年12月,24,9,20,14
2018年12月,26,8,20,15
2019年12月,24,10,21,15
2020年12月,23,5,19,14
2021年12月,24,8,20,14
