时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,1,-15,-2,-11
2012年1月,5,-16,0,-9
2013年1月,9,-13,2,-8
2014年1月,15,-12,5,-7
2015年1月,10,-10,5,-6
2016年1月,7,-17,1,-8
2017年1月,13,-10,4,-7
2018年1月,8,-19,1,-9
2019年1月,7,-11,2,-8
2020年1月,8,-9,4,-6
2021年1月,8,-15,2,-10
2022年1月,9,-10,4,-7
2011年2月,16,-9,8,-2
2012年2月,12,-11,3,-5
2013年2月,17,-9,8,-3
2014年2月,15,-9,5,-4
2015年2月,14,-7,8,-3
2016年2月,16,-11,6,-6
2017年2月,17,-7,9,-3
2018年2月,15,-13,5,-6
2019年2月,15,-9,6,-3
2020年2月,18,-13,9,-5
2021年2月,20,-9,12,-3
2022年2月,11,-12,4,-6
2011年3月,20,-7,9,-1
2012年3月,20,-3,12,1
2013年3月,25,0,19,4
2014年3月,26,-1,16,2
2015年3月,26,-4,15,3
2016年3月,26,-5,15,2
2017年3月,21,-8,12,0
2018年3月,27,-2,19,3
2019年3月,20,-2,14,1
2020年3月,22,-3,15,1
2021年3月,26,-3,16,2
2022年3月,27,-4,18,4
2011年4月,31,1,21,8
2012年4月,29,2,20,7
2013年4月,31,-1,22,7
2014年4月,27,2,19,7
2015年4月,31,2,21,7
2016年4月,27,1,21,7
2017年4月,28,2,20,6
2018年4月,29,-4,21,6
2019年4月,32,4,23,8
2020年4月,30,3,19,5
2021年4月,28,2,17,6
2022年4月,30,2,22,7
2011年5月,31,5,23,11
2012年5月,32,6,23,11
2013年5月,32,7,25,11
2014年5月,32,3,24,10
2015年5月,30,5,25,11
2016年5月,33,5,23,10
2017年5月,32,6,25,11
2018年5月,33,7,26,12
2019年5月,33,7,23,10
2020年5月,32,4,25,10
2021年5月,32,6,25,11
2022年5月,34,3,26,11
2011年6月,35,13,29,16
2012年6月,34,15,29,17
2013年6月,35,9,28,16
2014年6月,35,13,27,16
2015年6月,31,12,27,16
2016年6月,36,12,29,15
2017年6月,32,9,27,15
2018年6月,33,10,29,16
2019年6月,32,12,26,15
2020年6月,34,10,28,15
2021年6月,34,10,28,15
2022年6月,37,12,31,17
2011年7月,35,14,29,17
2012年7月,34,15,28,18
2013年7月,35,14,28,17
2014年7月,36,14,29,17
2015年7月,38,13,30,17
2016年7月,36,15,30,18
2017年7月,33,14,29,16
2018年7月,35,16,29,18
2019年7月,36,13,29,16
2020年7月,35,14,29,17
2021年7月,38,15,33,19
2022年7月,39,15,31,18
2011年8月,36,14,29,17
2012年8月,34,12,29,17
2013年8月,34,14,30,17
2014年8月,34,11,26,15
2015年8月,37,13,29,16
2016年8月,36,15,30,19
2017年8月,33,11,26,16
2018年8月,33,14,28,18
2019年8月,36,13,28,16
2020年8月,34,9,28,16
2021年8月,37,12,29,16
2011年9月,29,7,20,11
2012年9月,27,7,22,11
2013年9月,30,9,24,12
2014年9月,29,8,23,12
2015年9月,31,3,23,12
2016年9月,28,10,25,13
2017年9月,29,10,24,12
2018年9月,26,7,21,11
2019年9月,30,9,24,12
2020年9月,29,8,22,12
2020年9月,29,8,22,12
2021年9月,31,10,25,13
2011年10月,25,2,17,6
2012年10月,22,1,17,5
2013年10月,28,0,20,6
2014年10月,25,1,18,7
2015年10月,26,-2,19,6
2016年10月,30,-3,17,5
2017年10月,26,1,16,5
2018年10月,23,0,17,4
2019年10月,29,0,17,5
2020年10月,21,0,16,6
2021年10月,28,2,16,6
2011年11月,15,-3,11,1
2012年11月,17,-7,8,-2
2013年11月,14,-7,9,-1
2014年11月,14,-7,9,0
2015年11月,17,-3,11,1
2016年11月,20,-6,13,0
2017年11月,19,-6,11,0
2018年11月,21,-6,9,-1
2019年11月,17,-6,10,-1
2019年11月,17,-6,10,-1
2020年11月,18,-5,10,0
2021年11月,16,-8,9,-4
2011年12月,8,-11,2,-6
2012年12月,9,-15,2,-7
2013年12月,10,-11,3,-7
2014年12月,8,-11,3,-7
2015年12月,10,-11,3,-6
2017年12月,11,-11,4,-7
2018年12月,11,-13,1,-8
2019年12月,8,-11,5,-7
2020年12月,8,-16,2,-7
2021年12月,11,-12,4,-7
