时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,14,0,11,5
2012年1月,17,4,12,8
2013年1月,22,3,14,8
2014年1月,26,3,16,8
2015年1月,23,4,16,7
2016年1月,22,-1,13,9
2017年1月,25,6,16,10
2018年1月,22,3,15,8
2019年1月,23,6,16,9
2020年1月,28,5,18,10
2021年1月,25,1,16,7
2022年1月,21,5,15,10
2011年2月,28,4,16,8
2012年2月,22,5,13,8
2013年2月,25,4,16,10
2014年2月,27,4,15,9
2015年2月,25,4,17,9
2016年2月,27,3,15,7
2017年2月,25,5,16,8
2018年2月,25,0,15,7
2019年2月,26,8,16,10
2020年2月,28,4,17,10
2021年2月,29,7,21,12
2022年2月,26,3,13,8
2011年3月,26,7,16,9
2012年3月,29,6,18,11
2013年3月,31,6,21,11
2014年3月,29,7,19,11
2015年3月,30,6,19,12
2016年3月,26,5,18,10
2017年3月,24,7,18,11
2018年3月,29,6,21,12
2019年3月,31,7,20,11
2020年3月,30,8,19,12
2021年3月,31,9,22,14
2022年3月,29,8,22,14
2011年4月,33,10,25,15
2012年4月,30,12,23,17
2013年4月,29,8,22,14
2014年4月,32,12,23,16
2015年4月,36,8,25,15
2016年4月,32,13,25,17
2017年4月,30,9,24,16
2018年4月,33,9,26,17
2019年4月,33,11,24,17
2020年4月,32,10,22,14
2021年4月,33,13,24,16
2022年4月,34,9,25,16
2011年5月,34,15,26,19
2012年5月,31,18,27,19
2013年5月,34,13,26,20
2014年5月,33,15,26,19
2015年5月,34,15,28,20
2016年5月,35,16,29,21
2017年5月,32,18,28,20
2018年5月,37,16,31,22
2019年5月,31,15,26,19
2020年5月,35,19,29,21
2021年5月,37,17,30,22
2022年5月,34,13,24,18
2011年6月,36,21,33,25
2012年6月,35,21,30,23
2013年6月,37,20,31,24
2014年6月,35,22,30,23
2015年6月,38,19,33,25
2016年6月,38,22,33,24
2017年6月,36,19,29,23
2018年6月,36,20,30,23
2019年6月,36,18,29,23
2020年6月,39,22,34,25
2021年6月,38,18,31,24
2022年6月,37,20,30,23
2011年7月,38,25,34,26
2012年7月,38,24,35,26
2013年7月,38,24,35,26
2014年7月,37,25,35,26
2015年7月,38,23,32,25
2016年7月,38,25,35,26
2017年7月,35,25,33,25
2018年7月,37,24,33,26
2019年7月,36,25,33,26
2020年7月,40,26,36,27
2021年7月,39,25,35,26
2022年7月,42,26,37,27
2011年8月,38,24,34,25
2012年8月,36,24,33,25
2013年8月,40,24,34,26
2014年8月,37,25,34,26
2015年8月,36,22,32,24
2016年8月,37,22,34,25
2017年8月,37,25,34,26
2018年8月,37,24,32,25
2019年8月,37,24,33,26
2020年8月,39,25,35,26
2021年8月,36,25,33,26
2011年9月,34,19,30,23
2012年9月,34,18,29,22
2013年9月,34,21,30,23
2014年9月,36,22,32,25
2015年9月,34,21,29,23
2016年9月,33,21,30,23
2017年9月,38,23,34,25
2018年9月,36,19,31,23
2019年9月,35,20,32,23
2020年9月,37,19,30,23
2020年9月,37,19,30,23
2021年9月,37,22,34,25
2011年10月,29,15,25,19
2012年10月,30,15,26,18
2013年10月,31,14,27,19
2014年10月,32,17,28,19
2015年10月,31,17,26,19
2016年10月,33,17,28,22
2017年10月,36,14,28,20
2018年10月,31,13,25,18
2019年10月,36,15,28,20
2020年10月,33,15,25,19
2021年10月,33,15,26,20
2011年11月,27,13,23,17
2012年11月,27,12,20,14
2013年11月,29,5,21,14
2014年11月,29,13,22,16
2015年11月,31,8,23,17
2016年11月,30,14,24,17
2017年11月,29,11,22,16
2018年11月,26,12,21,16
2019年11月,29,11,23,15
2020年11月,31,14,23,17
2021年11月,27,9,20,14
2011年12月,22,5,16,9
2012年12月,23,4,16,9
2013年12月,23,3,15,8
2014年12月,20,4,15,8
2015年12月,22,5,16,12
2017年12月,23,5,17,10
2018年12月,28,5,18,11
2019年12月,28,5,19,10
2020年12月,24,1,16,11
2021年12月,25,6,17,10
