时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,12,-11,8,-6
2012年1月,12,-11,7,-7
2013年1月,15,-12,9,-7
2014年1月,12,-12,9,-6
2015年1月,12,-11,6,-7
2016年1月,14,-10,6,-7
2017年1月,13,-14,7,-7
2018年1月,17,-10,10,-6
2019年1月,9,-11,5,-8
2020年1月,13,-9,6,-6
2021年1月,16,-7,11,-3
2022年1月,10,-11,5,-7
2011年2月,14,-10,11,-3
2012年2月,15,-8,11,-4
2013年2月,16,-8,10,-4
2014年2月,14,-8,12,-2
2015年2月,15,-11,8,-5
2016年2月,18,-5,12,-2
2017年2月,15,-10,11,-3
2018年2月,16,-5,12,-2
2019年2月,15,-8,9,-4
2020年2月,15,-9,9,-4
2021年2月,20,-8,10,-3
2022年2月,11,-9,6,-6
2011年3月,17,-6,13,-1
2012年3月,21,-6,13,0
2013年3月,16,-4,13,0
2014年3月,17,-3,12,0
2015年3月,18,-2,14,0
2016年3月,21,-4,13,0
2017年3月,18,-6,12,0
2018年3月,17,-3,13,0
2019年3月,17,-8,13,-1
2020年3月,20,-3,12,0
2021年3月,20,-3,13,0
2022年3月,25,-4,16,1
2011年4月,20,-1,16,3
2012年4月,19,0,16,3
2013年4月,22,0,16,3
2014年4月,21,1,16,3
2015年4月,19,0,15,3
2016年4月,20,1,16,4
2017年4月,21,-1,17,3
2018年4月,19,1,15,3
2019年4月,23,0,16,3
2020年4月,18,0,14,2
2021年4月,19,0,15,2
2022年4月,23,3,19,5
2011年5月,26,2,20,7
2012年5月,27,3,22,8
2013年5月,27,2,20,7
2014年5月,26,5,21,8
2015年5月,25,2,20,6
2016年5月,23,3,19,7
2017年5月,23,4,18,6
2018年5月,25,4,20,7
2019年5月,23,5,20,7
2020年5月,22,0,17,5
2021年5月,27,3,20,7
2022年5月,25,1,20,7
2011年6月,28,6,23,11
2012年6月,29,10,25,12
2013年6月,28,7,24,11
2014年6月,28,10,25,12
2015年6月,28,10,25,12
2016年6月,25,5,22,11
2017年6月,26,7,22,11
2018年6月,29,7,24,12
2019年6月,29,5,25,12
2020年6月,27,6,23,11
2021年6月,28,7,24,12
2022年6月,28,9,24,11
2011年7月,27,9,23,12
2012年7月,26,9,24,12
2013年7月,26,9,23,12
2014年7月,27,8,22,11
2015年7月,27,9,24,11
2016年7月,25,9,22,11
2017年7月,24,12,22,12
2018年7月,26,11,22,12
2019年7月,29,9,22,12
2020年7月,27,10,24,12
2021年7月,27,10,23,11
2022年7月,28,10,25,13
2011年8月,26,9,23,10
2012年8月,26,9,23,12
2013年8月,24,9,23,11
2014年8月,26,8,21,11
2015年8月,26,9,22,11
2016年8月,27,10,23,11
2017年8月,27,10,23,12
2018年8月,24,9,21,11
2019年8月,27,8,22,11
2020年8月,26,11,22,12
2021年8月,26,10,22,11
2011年9月,25,6,22,10
2012年9月,25,7,22,9
2013年9月,23,5,20,8
2014年9月,23,5,20,9
2015年9月,25,8,22,10
2016年9月,24,7,21,9
2017年9月,26,8,23,10
2018年9月,25,6,22,10
2019年9月,24,5,20,9
2020年9月,25,8,23,10
2020年9月,25,8,23,10
2021年9月,22,4,20,8
2011年10月,23,-1,18,3
2012年10月,23,-4,18,3
2013年10月,19,-2,16,3
2014年10月,20,-1,16,3
2015年10月,24,-2,18,3
2016年10月,22,0,19,5
2017年10月,23,-1,19,5
2018年10月,22,-2,17,3
2019年10月,22,1,17,4
2020年10月,25,1,21,5
2021年10月,23,0,20,5
2011年11月,17,-5,13,-2
2012年11月,16,-5,13,-3
2013年11月,16,-7,13,-3
2014年11月,19,-6,14,-1
2015年11月,19,-4,14,-1
2016年11月,19,-5,15,-2
2017年11月,17,-6,13,-2
2018年11月,15,-6,12,-2
2019年11月,18,-3,14,0
2019年11月,18,-3,14,0
2020年11月,19,-5,14,-1
2021年11月,20,-4,15,0
2011年12月,18,-8,13,-5
2012年12月,16,-13,11,-5
2013年12月,16,-13,10,-7
2014年12月,17,-8,12,-5
2015年12月,14,-10,9,-5
2017年12月,18,-8,13,-4
2018年12月,12,-13,7,-8
2019年12月,12,-11,8,-4
2020年12月,15,-7,11,-4
2021年12月,16,-10,9,-5
