时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,7,-5,0,-2
2012年1月,8,-4,2,0
2013年1月,19,-4,6,2
2014年1月,19,-4,10,3
2015年1月,16,-3,9,3
2016年1月,15,-5,7,2
2017年1月,17,0,8,4
2018年1月,17,-4,7,2
2019年1月,16,-4,7,2
2020年1月,19,-1,9,3
2021年1月,16,-5,7,0
2022年1月,15,-2,7,2
2011年2月,25,-2,11,5
2012年2月,16,-2,5,1
2013年2月,23,-1,13,6
2014年2月,21,-5,7,2
2015年2月,23,0,12,6
2016年2月,22,-3,9,2
2017年2月,19,0,10,4
2018年2月,20,-4,10,3
2019年2月,23,-1,8,2
2020年2月,21,-1,12,5
2021年2月,23,2,13,6
2022年2月,17,-3,5,0
2011年3月,20,0,9,4
2012年3月,27,0,14,6
2013年3月,27,2,19,10
2014年3月,25,2,14,7
2015年3月,28,1,15,9
2016年3月,24,0,15,8
2017年3月,22,4,12,6
2018年3月,25,4,17,9
2019年3月,26,0,15,6
2020年3月,27,3,16,8
2021年3月,29,4,17,9
2022年3月,27,5,18,10
2011年4月,28,4,18,11
2012年4月,28,8,21,13
2013年4月,26,4,18,11
2014年4月,29,9,20,13
2015年4月,30,5,21,12
2016年4月,28,8,21,13
2017年4月,27,8,20,12
2018年4月,28,6,21,12
2019年4月,29,7,23,13
2020年4月,27,6,18,9
2021年4月,29,7,17,11
2022年4月,26,4,19,10
2011年5月,31,10,23,14
2012年5月,29,13,23,16
2013年5月,30,11,23,15
2014年5月,27,9,22,15
2015年5月,29,13,24,16
2016年5月,29,10,23,15
2017年5月,28,11,23,15
2018年5月,29,14,24,17
2019年5月,30,10,21,14
2020年5月,32,14,25,16
2021年5月,31,13,23,15
2022年5月,27,7,20,13
2011年6月,31,15,25,18
2012年6月,27,14,23,17
2013年6月,31,12,26,18
2014年6月,29,17,24,18
2015年6月,31,17,25,19
2016年6月,30,16,26,19
2017年6月,28,14,23,18
2018年6月,29,13,25,18
2019年6月,30,15,26,18
2020年6月,29,13,26,19
2021年6月,30,14,26,18
2022年6月,28,16,25,18
2011年7月,31,18,28,20
2012年7月,29,19,26,20
2013年7月,31,20,28,21
2014年7月,32,18,27,20
2015年7月,31,15,26,18
2016年7月,32,19,28,21
2017年7月,30,18,27,19
2018年7月,31,19,28,20
2019年7月,30,17,26,20
2020年7月,30,19,27,20
2021年7月,32,19,28,20
2022年7月,33,18,29,20
2011年8月,32,16,29,19
2012年8月,30,16,27,19
2013年8月,31,18,27,20
2014年8月,31,15,27,19
2015年8月,29,16,25,18
2016年8月,32,16,27,19
2017年8月,32,19,28,20
2018年8月,30,18,27,19
2019年8月,32,17,28,20
2020年8月,32,17,28,20
2021年8月,33,17,28,20
2011年9月,32,10,24,16
2012年9月,28,10,22,15
2013年9月,30,10,24,16
2014年9月,30,12,25,18
2015年9月,27,14,23,17
2016年9月,28,14,24,17
2017年9月,29,16,25,18
2018年9月,29,12,23,16
2019年9月,29,11,25,16
2020年9月,31,13,22,16
2020年9月,31,13,22,16
2021年9月,30,14,27,18
2011年10月,28,8,18,12
2012年10月,25,7,18,13
2013年10月,28,8,19,11
2014年10月,25,11,21,13
2015年10月,25,8,20,13
2016年10月,29,7,21,13
2017年10月,28,7,20,13
2018年10月,21,8,17,11
2019年10月,27,6,20,13
2020年10月,26,8,17,11
2021年10月,30,5,18,11
2011年11月,22,4,18,10
2012年11月,20,3,13,7
2013年11月,24,4,14,9
2014年11月,20,5,13,8
2015年11月,25,4,16,10
2016年11月,25,4,16,10
2017年11月,23,2,14,7
2018年11月,21,4,14,7
2019年11月,22,2,14,7
2019年11月,22,2,14,7
2020年11月,24,2,15,7
2021年11月,22,2,13,6
2011年12月,14,-1,6,1
2012年12月,20,-3,8,2
2013年12月,17,-3,7,2
2014年12月,14,-1,8,2
2015年12月,17,0,8,3
2017年12月,16,-1,10,3
2018年12月,20,-7,7,2
2019年12月,20,-1,10,3
2020年12月,14,-3,5,1
2021年12月,17,-5,10,3
