时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,-1,-30,-8,-23
2012年1月,2,-25,-6,-19
2013年1月,4,-29,-7,-19
2014年1月,6,-24,-2,-14
2015年1月,3,-22,-3,-16
2016年1月,4,-26,-6,-18
2017年1月,5,-21,-3,-15
2018年1月,3,-27,-6,-18
2019年1月,6,-21,0,-14
2020年1月,3,-22,-3,-15
2021年1月,6,-27,-5,-17
2022年1月,4,-20,-3,-16
2011年2月,10,-20,0,-11
2012年2月,6,-26,-2,-14
2013年2月,6,-26,-3,-15
2014年2月,13,-22,0,-11
2015年2月,8,-20,0,-11
2016年2月,9,-18,0,-11
2017年2月,10,-16,1,-10
2018年2月,7,-24,-1,-15
2019年2月,11,-21,1,-12
2020年2月,13,-22,1,-9
2021年2月,12,-22,2,-10
2022年2月,10,-20,0,-14
2011年3月,21,-14,6,-4
2012年3月,15,-16,4,-6
2013年3月,11,-13,4,-4
2014年3月,21,-11,10,-2
2015年3月,21,-14,8,-3
2016年3月,23,-11,10,-2
2017年3月,17,-12,9,-4
2018年3月,23,-15,8,-4
2019年3月,21,-8,10,-2
2020年3月,18,-11,9,-1
2021年3月,19,-13,11,-1
2022年3月,16,-10,8,-2
2011年4月,22,-3,15,3
2012年4月,25,-3,16,4
2013年4月,21,-3,11,1
2014年4月,27,-3,20,5
2015年4月,29,-3,18,5
2016年4月,22,-4,17,4
2017年4月,29,-1,19,5
2018年4月,28,-4,17,5
2019年4月,26,-3,17,4
2020年4月,26,-5,16,3
2021年4月,26,-2,17,4
2022年4月,26,-3,18,5
2011年5月,30,5,22,11
2012年5月,32,6,25,11
2013年5月,32,5,25,12
2014年5月,35,3,23,10
2015年5月,32,2,24,11
2016年5月,30,5,23,10
2017年5月,33,5,25,11
2018年5月,31,4,25,12
2019年5月,35,4,26,11
2020年5月,31,5,22,11
2021年5月,31,4,23,11
2022年5月,33,2,24,11
2011年6月,32,13,26,16
2012年6月,31,14,26,17
2013年6月,31,13,27,17
2014年6月,32,14,27,17
2015年6月,31,10,26,15
2016年6月,32,12,28,16
2017年6月,36,8,28,16
2018年6月,33,15,28,18
2019年6月,33,13,27,16
2020年6月,34,12,29,17
2021年6月,32,10,25,16
2022年6月,30,11,25,17
2011年7月,32,19,29,20
2012年7月,32,18,29,20
2013年7月,33,19,29,21
2014年7月,34,16,29,19
2015年7月,35,12,30,19
2016年7月,33,16,29,20
2017年7月,34,19,31,21
2018年7月,37,18,30,22
2019年7月,36,16,30,21
2020年7月,35,15,30,19
2021年7月,35,19,30,22
2022年7月,32,19,29,21
2011年8月,32,15,29,19
2012年8月,32,11,28,18
2013年8月,33,10,28,20
2014年8月,33,15,29,18
2015年8月,33,15,28,18
2016年8月,35,11,29,18
2017年8月,33,8,27,18
2018年8月,38,15,29,20
2019年8月,33,13,27,19
2020年8月,33,16,28,20
2021年8月,32,15,27,18
2011年9月,28,0,23,9
2012年9月,30,5,23,11
2013年9月,28,4,23,12
2014年9月,30,-1,24,9
2015年9月,29,5,25,12
2016年9月,27,2,24,13
2017年9月,28,3,24,12
2018年9月,28,5,23,11
2019年9月,31,6,25,13
2020年9月,29,4,23,13
2020年9月,29,4,23,13
2021年9月,30,7,24,14
2011年10月,22,-3,17,4
2012年10月,24,-4,16,3
2013年10月,25,-3,15,4
2014年10月,25,-5,17,5
2015年10月,26,-6,16,3
2016年10月,26,-6,14,3
2017年10月,23,-4,15,3
2018年10月,25,-4,16,2
2019年10月,30,-6,17,3
2020年10月,24,-5,16,2
2021年10月,22,-4,16,4
2011年11月,17,-18,6,-4
2012年11月,13,-16,3,-5
2013年11月,16,-12,6,-3
2014年11月,17,-10,8,-4
2015年11月,18,-17,2,-5
2016年11月,13,-14,4,-5
2017年11月,17,-13,5,-5
2018年11月,19,-13,7,-4
2019年11月,15,-15,6,-6
2019年11月,15,-15,6,-6
2020年11月,18,-12,7,-4
2021年11月,20,-14,5,-5
2011年12月,2,-21,-4,-15
2012年12月,5,-27,-7,-19
2013年12月,7,-20,-2,-12
2014年12月,3,-24,-4,-15
2015年12月,5,-22,0,-10
2017年12月,5,-20,-2,-14
2018年12月,8,-23,-2,-14
2019年12月,6,-22,-1,-13
2020年12月,5,-21,-2,-14
2021年12月,9,-24,0,-11
