时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,9,2,6,3
2012年1月,13,4,8,5
2013年1月,17,2,11,6
2014年1月,17,4,11,6
2015年1月,17,5,11,7
2016年1月,16,-1,10,6
2017年1月,16,5,12,8
2018年1月,14,2,9,5
2019年1月,14,4,10,6
2020年1月,15,5,11,8
2021年1月,17,0,10,4
2022年1月,17,4,11,7
2011年2月,22,7,15,9
2012年2月,14,4,11,6
2013年2月,21,5,14,9
2014年2月,16,3,11,7
2015年2月,20,6,14,9
2016年2月,23,4,13,7
2017年2月,19,4,13,7
2018年2月,20,3,12,7
2019年2月,19,5,13,8
2020年2月,19,3,13,8
2021年2月,26,7,17,10
2022年2月,18,3,11,6
2011年3月,22,5,15,9
2012年3月,24,5,17,10
2013年3月,28,8,22,14
2014年3月,27,9,17,11
2015年3月,30,8,19,13
2016年3月,25,7,19,12
2017年3月,23,8,16,11
2018年3月,26,9,20,13
2019年3月,28,6,17,11
2020年3月,29,10,19,12
2021年3月,28,8,19,12
2022年3月,32,10,22,13
2011年4月,33,12,23,16
2012年4月,30,13,23,16
2013年4月,32,9,24,16
2014年4月,30,14,22,17
2015年4月,34,12,24,16
2016年4月,29,14,23,17
2017年4月,31,14,23,16
2018年4月,31,12,25,16
2019年4月,36,13,26,17
2020年4月,31,11,21,14
2021年4月,31,13,20,15
2022年4月,33,10,23,15
2011年5月,37,14,28,19
2012年5月,33,17,26,19
2013年5月,36,17,27,19
2014年5月,29,15,24,18
2015年5月,34,17,27,19
2016年5月,35,15,26,19
2017年5月,34,14,27,19
2018年5月,37,17,28,20
2019年5月,31,14,25,18
2020年5月,35,18,29,20
2021年5月,34,15,26,19
2022年5月,33,12,26,18
2011年6月,37,19,30,23
2012年6月,32,19,27,22
2013年6月,39,19,33,24
2014年6月,35,20,27,22
2015年6月,38,19,29,23
2016年6月,36,20,30,22
2017年6月,35,19,28,22
2018年6月,37,19,30,23
2019年6月,37,19,28,22
2020年6月,36,19,30,23
2021年6月,36,19,30,22
2022年6月,37,21,30,23
2011年7月,38,20,34,25
2012年7月,37,23,32,25
2013年7月,40,25,36,27
2014年7月,39,20,34,25
2015年7月,38,20,33,24
2016年7月,39,23,35,26
2017年7月,36,24,32,25
2018年7月,40,24,36,27
2019年7月,39,22,31,24
2020年7月,37,20,30,24
2021年7月,39,23,33,25
2022年7月,41,23,36,27
2011年8月,42,22,36,26
2012年8月,40,21,35,25
2013年8月,40,22,35,26
2014年8月,40,21,31,24
2015年8月,38,21,31,24
2016年8月,40,21,34,26
2017年8月,40,22,36,27
2018年8月,38,24,35,25
2019年8月,39,22,35,26
2020年8月,39,23,35,27
2021年8月,40,19,32,25
2011年9月,40,15,28,21
2012年9月,33,16,26,20
2013年9月,35,17,27,20
2014年9月,35,18,28,22
2015年9月,35,18,26,21
2016年9月,33,19,27,21
2017年9月,33,19,27,21
2018年9月,39,16,26,21
2019年9月,36,17,29,21
2020年9月,35,18,25,20
2020年9月,35,18,25,20
2021年9月,36,18,30,22
2011年10月,29,11,21,16
2012年10月,26,14,20,16
2013年10月,32,14,23,16
2014年10月,30,16,24,17
2015年10月,29,14,23,17
2016年10月,34,10,23,17
2017年10月,30,14,21,16
2018年10月,25,14,19,15
2019年10月,29,12,22,17
2020年10月,23,13,19,15
2021年10月,37,12,21,16
2011年11月,23,11,19,14
2012年11月,24,8,16,11
2013年11月,20,6,16,12
2014年11月,19,8,15,12
2015年11月,21,10,18,14
2016年11月,22,7,18,13
2017年11月,26,7,17,12
2018年11月,25,7,15,10
2019年11月,22,8,16,12
2019年11月,22,8,16,12
2020年11月,25,8,18,12
2021年11月,20,7,14,9
2011年12月,16,5,10,7
2012年12月,16,2,11,6
2013年12月,17,4,11,7
2014年12月,15,4,11,6
2015年12月,16,5,12,8
2017年12月,15,5,13,8
2018年12月,16,2,10,7
2019年12月,16,6,12,8
2020年12月,13,3,10,6
2021年12月,18,4,12,8
