时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,4,-6,1,-4
2012年1月,8,-7,3,-3
2013年1月,14,-7,7,-2
2014年1月,15,-4,8,-1
2015年1月,10,-4,6,-1
2016年1月,12,-12,4,-3
2017年1月,10,-5,6,0
2018年1月,11,-13,3,-6
2019年1月,10,-7,4,-3
2020年1月,10,-4,6,-1
2021年1月,14,-11,7,-3
2022年1月,11,-4,6,0
2011年2月,17,-4,8,0
2012年2月,12,-7,6,-1
2013年2月,15,-2,9,0
2014年2月,14,-4,6,0
2015年2月,18,-4,10,0
2016年2月,18,-6,9,0
2017年2月,18,-4,10,0
2018年2月,22,-10,9,-1
2019年2月,15,-6,7,0
2020年2月,20,-5,11,0
2021年2月,24,-3,14,0
2022年2月,16,-2,8,0
2011年3月,22,0,14,4
2012年3月,23,1,13,4
2013年3月,27,1,20,7
2014年3月,27,2,17,6
2015年3月,23,0,15,5
2016年3月,26,-1,15,6
2017年3月,21,0,14,4
2018年3月,30,0,20,6
2019年3月,29,1,18,4
2020年3月,27,0,18,5
2021年3月,24,-3,16,5
2022年3月,26,2,18,7
2011年4月,33,4,23,12
2012年4月,30,4,24,12
2013年4月,33,4,24,11
2014年4月,31,7,21,12
2015年4月,34,5,22,11
2016年4月,30,9,24,13
2017年4月,30,8,22,11
2018年4月,35,2,24,11
2019年4月,34,8,24,11
2020年4月,34,5,22,9
2021年4月,31,6,20,9
2022年4月,33,8,23,11
2011年5月,36,9,27,15
2012年5月,33,14,27,17
2013年5月,36,13,28,17
2014年5月,34,10,26,16
2015年5月,33,12,27,17
2016年5月,34,10,25,16
2017年5月,36,10,28,16
2018年5月,33,13,28,16
2019年5月,37,9,26,14
2020年5月,37,9,29,15
2021年5月,35,9,28,15
2022年5月,35,10,27,15
2011年6月,37,18,31,21
2012年6月,37,19,32,22
2013年6月,38,16,33,22
2014年6月,37,19,31,21
2015年6月,36,18,30,20
2016年6月,37,14,31,21
2017年6月,37,15,31,20
2018年6月,38,13,32,19
2019年6月,38,16,31,19
2020年6月,38,16,30,19
2021年6月,38,15,32,20
2022年6月,39,18,34,22
2011年7月,38,19,32,23
2012年7月,37,21,32,23
2013年7月,37,22,32,24
2014年7月,39,20,34,23
2015年7月,39,20,34,23
2016年7月,37,18,33,24
2017年7月,38,20,34,23
2018年7月,40,21,33,22
2019年7月,40,18,32,21
2020年7月,38,19,30,21
2021年7月,39,19,33,23
2022年7月,41,16,33,23
2011年8月,36,17,30,21
2012年8月,35,18,31,22
2013年8月,38,19,33,23
2014年8月,37,18,29,20
2015年8月,39,18,31,21
2016年8月,38,18,33,24
2017年8月,40,16,31,21
2018年8月,39,20,33,22
2019年8月,38,17,31,21
2020年8月,35,17,29,21
2021年8月,39,16,31,21
2011年9月,32,9,22,15
2012年9月,32,11,25,16
2013年9月,35,12,27,18
2014年9月,30,14,24,17
2015年9月,32,11,26,17
2016年9月,33,15,27,18
2017年9月,31,13,25,17
2018年9月,35,8,24,16
2019年9月,33,10,25,15
2020年9月,34,13,27,16
2020年9月,34,13,27,16
2021年9月,33,14,25,17
2011年10月,25,9,19,11
2012年10月,25,6,20,11
2013年10月,31,8,22,12
2014年10月,28,8,21,12
2015年10月,26,4,20,11
2016年10月,30,7,19,12
2017年10月,22,6,17,10
2018年10月,25,4,20,8
2019年10月,29,3,18,10
2020年10月,21,6,17,9
2021年10月,28,5,17,9
2011年11月,17,1,13,7
2012年11月,19,-1,12,2
2013年11月,18,-2,13,4
2014年11月,20,-1,12,4
2015年11月,16,-2,11,5
2016年11月,20,-2,14,6
2017年11月,23,-2,14,4
2018年11月,22,-2,12,2
2019年11月,20,-2,12,3
2019年11月,20,-2,12,3
2020年11月,21,-2,13,4
2021年11月,20,-3,13,2
2011年12月,8,-3,5,-1
2012年12月,12,-7,5,-2
2013年12月,14,-6,8,-1
2014年12月,13,-6,6,-2
2015年12月,14,-5,7,-1
2017年12月,13,-7,9,-3
2018年12月,12,-7,5,-2
2019年12月,13,-4,8,-1
2020年12月,9,-8,5,-3
2021年12月,14,-6,8,0
