时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,3,-22,-2,-17
2012年1月,6,-21,-1,-16
2013年1月,10,-19,3,-15
2014年1月,14,-19,4,-15
2015年1月,10,-18,3,-13
2016年1月,9,-23,1,-15
2017年1月,12,-18,3,-14
2018年1月,8,-21,1,-14
2019年1月,5,-18,0,-13
2020年1月,6,-15,1,-10
2021年1月,7,-18,0,-12
2022年1月,8,-16,2,-11
2011年2月,13,-16,7,-9
2012年2月,9,-16,2,-12
2013年2月,16,-14,7,-10
2014年2月,14,-15,5,-11
2015年2月,12,-16,6,-10
2016年2月,13,-16,4,-12
2017年2月,16,-14,7,-10
2018年2月,11,-19,4,-13
2019年2月,11,-15,4,-8
2020年2月,14,-17,5,-9
2021年2月,13,-10,6,-6
2022年2月,7,-15,1,-11
2011年3月,17,-14,8,-7
2012年3月,17,-9,8,-5
2013年3月,20,-10,15,-3
2014年3月,21,-10,12,-5
2015年3月,25,-11,12,-4
2016年3月,22,-10,12,-4
2017年3月,19,-11,8,-5
2018年3月,21,-8,14,-3
2019年3月,17,-7,9,-3
2020年3月,18,-8,9,-3
2021年3月,19,-7,12,-2
2022年3月,23,-10,14,-1
2011年4月,25,-6,17,1
2012年4月,24,-4,16,0
2013年4月,25,-6,17,0
2014年4月,24,-1,16,1
2015年4月,24,-4,16,0
2016年4月,22,-4,17,1
2017年4月,23,-3,15,0
2018年4月,24,-6,17,0
2019年4月,28,-2,18,2
2020年4月,23,-4,13,0
2021年4月,21,-3,13,1
2022年4月,23,-2,15,1
2011年5月,28,2,20,5
2012年5月,26,2,19,6
2013年5月,28,1,19,5
2014年5月,28,-1,19,4
2015年5月,26,-1,20,5
2016年5月,27,1,19,5
2017年5月,26,-1,19,4
2018年5月,29,1,20,6
2019年5月,24,1,17,4
2020年5月,27,0,19,5
2021年5月,25,1,19,5
2022年5月,27,-2,20,6
2011年6月,31,6,24,10
2012年6月,28,7,23,9
2013年6月,30,2,24,10
2014年6月,29,7,21,9
2015年6月,27,5,22,8
2016年6月,30,5,23,8
2017年6月,29,4,22,8
2018年6月,30,3,24,10
2019年6月,26,5,21,9
2020年6月,26,7,21,9
2021年6月,27,4,22,9
2022年6月,30,7,24,10
2011年7月,30,6,25,10
2012年7月,28,9,23,12
2013年7月,30,7,23,12
2014年7月,31,8,25,11
2015年7月,34,6,24,9
2016年7月,32,7,26,11
2017年7月,30,9,25,11
2018年7月,30,10,25,12
2019年7月,30,8,23,10
2020年7月,28,8,23,11
2021年7月,32,9,26,12
2022年7月,34,7,26,11
2011年8月,32,5,25,10
2012年8月,29,6,24,11
2013年8月,32,8,26,12
2014年8月,29,5,21,9
2015年8月,32,5,23,9
2016年8月,33,10,26,13
2017年8月,29,8,22,11
2018年8月,28,8,23,13
2019年8月,29,7,23,10
2020年8月,27,6,22,10
2021年8月,31,4,23,10
2011年9月,24,3,18,7
2012年9月,24,1,19,6
2013年9月,25,2,19,6
2014年9月,25,3,19,7
2015年9月,25,0,18,7
2016年9月,24,2,20,5
2017年9月,25,3,19,7
2018年9月,23,1,18,7
2019年9月,25,2,18,6
2020年9月,22,5,18,8
2020年9月,22,5,18,8
2021年9月,26,4,20,7
2011年10月,22,-7,14,0
2012年10月,20,-5,14,0
2013年10月,24,-5,16,0
2014年10月,22,-3,15,1
2015年10月,23,-6,16,0
2016年10月,24,-7,15,1
2017年10月,23,-4,14,1
2018年10月,18,-5,14,0
2019年10月,22,-3,12,1
2020年10月,17,-3,12,1
2021年10月,22,-3,12,1
2011年11月,15,-8,9,-4
2012年11月,13,-16,7,-9
2013年11月,12,-14,7,-7
2014年11月,18,-12,7,-6
2015年11月,18,-10,11,-4
2016年11月,16,-11,10,-5
2017年11月,17,-14,8,-7
2018年11月,17,-13,6,-7
2019年11月,13,-9,7,-4
2019年11月,13,-9,7,-4
2020年11月,16,-9,7,-3
2021年11月,13,-13,5,-7
2011年12月,8,-17,2,-13
2012年12月,10,-21,3,-13
2013年12月,10,-18,2,-14
2014年12月,7,-19,2,-14
2015年12月,10,-17,3,-13
2017年12月,8,-17,4,-13
2018年12月,8,-17,1,-12
2019年12月,7,-17,2,-11
2020年12月,5,-16,0,-11
2021年12月,8,-17,1,-11
