时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,18,7,15,11
2012年1月,22,7,17,13
2013年1月,23,11,18,14
2014年1月,23,10,19,14
2015年1月,22,11,18,14
2016年1月,22,4,17,14
2017年1月,24,12,20,16
2018年1月,24,7,18,13
2019年1月,25,11,20,15
2020年1月,25,11,21,16
2021年1月,25,6,18,12
2022年1月,22,10,19,15
2011年2月,24,12,19,14
2012年2月,25,11,18,14
2013年2月,25,11,22,17
2014年2月,25,7,17,13
2015年2月,24,12,19,15
2016年2月,24,9,17,12
2017年2月,24,10,19,14
2018年2月,25,7,18,13
2019年2月,25,12,22,18
2020年2月,27,10,20,16
2021年2月,25,13,22,16
2022年2月,22,8,16,12
2011年3月,26,13,20,15
2012年3月,27,11,21,17
2013年3月,29,12,23,18
2014年3月,27,13,21,17
2015年3月,27,15,21,18
2016年3月,25,9,19,15
2017年3月,26,13,21,17
2018年3月,27,12,24,18
2019年3月,28,15,23,18
2020年3月,28,17,24,19
2021年3月,28,14,24,19
2022年3月,28,15,24,18
2011年4月,30,17,26,20
2012年4月,30,18,26,22
2013年4月,29,16,24,20
2014年4月,29,18,25,21
2015年4月,30,15,26,21
2016年4月,29,20,25,21
2017年4月,30,15,26,21
2018年4月,30,15,26,21
2019年4月,31,19,27,22
2020年4月,30,16,24,19
2021年4月,31,19,25,21
2022年4月,32,13,25,20
2011年5月,32,21,29,24
2012年5月,33,24,30,25
2013年5月,35,19,28,24
2014年5月,33,20,28,25
2015年5月,32,23,29,25
2016年5月,32,22,29,25
2017年5月,32,22,29,24
2018年5月,35,0,30,25
2019年5月,33,19,27,23
2020年5月,33,23,30,25
2021年5月,34,22,30,25
2022年5月,32,16,26,22
2011年6月,34,25,31,26
2012年6月,33,24,30,26
2013年6月,35,23,30,26
2014年6月,33,26,31,27
2015年6月,33,26,32,27
2016年6月,34,25,31,27
2017年6月,34,25,31,27
2018年6月,33,25,31,26
2019年6月,33,25,31,26
2020年6月,34,24,31,27
2021年6月,33,23,30,26
2022年6月,34,24,30,26
2011年7月,33,25,31,26
2012年7月,34,25,31,26
2013年7月,34,24,31,26
2014年7月,34,26,32,27
2015年7月,33,25,31,27
2016年7月,34,26,32,27
2017年7月,32,25,30,26
2018年7月,33,25,31,26
2019年7月,34,26,32,27
2020年7月,34,26,32,27
2021年7月,34,25,31,26
2022年7月,36,25,33,27
2011年8月,34,26,32,27
2012年8月,34,26,32,27
2013年8月,35,25,31,26
2014年8月,33,25,31,27
2015年8月,35,26,32,27
2016年8月,33,25,31,26
2017年8月,36,24,32,27
2018年8月,34,24,31,26
2019年8月,35,23,31,26
2020年8月,34,25,31,26
2021年8月,33,25,31,26
2011年9月,32,24,30,25
2012年9月,33,22,31,25
2013年9月,33,24,30,25
2014年9月,33,25,31,26
2015年9月,33,25,30,26
2016年9月,34,23,30,25
2017年9月,34,25,31,27
2018年9月,35,24,31,25
2019年9月,34,24,31,26
2020年9月,33,23,30,25
2020年9月,33,23,30,25
2021年9月,34,25,31,26
2011年10月,30,21,27,23
2012年10月,30,16,28,23
2013年10月,32,19,28,22
2014年10月,31,23,28,24
2015年10月,32,20,28,23
2016年10月,32,21,28,24
2017年10月,34,19,29,24
2018年10月,31,21,28,23
2019年10月,33,20,29,24
2020年10月,30,20,27,22
2021年10月,32,18,27,22
2011年11月,30,15,25,20
2012年11月,27,13,23,19
2013年11月,28,12,24,18
2014年11月,29,18,24,20
2015年11月,29,16,25,22
2016年11月,29,17,26,21
2017年11月,28,16,24,19
2018年11月,27,17,24,21
2019年11月,29,17,26,20
2019年11月,29,17,26,20
2020年11月,30,16,25,20
2021年11月,29,13,23,18
2011年12月,23,10,18,14
2012年12月,26,7,19,14
2013年12月,24,8,18,13
2014年12月,24,11,18,13
2015年12月,26,11,20,16
2017年12月,24,11,20,15
2018年12月,27,10,21,17
2019年12月,26,12,21,16
2020年12月,23,5,19,14
2021年12月,25,8,20,14
