时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,-8,-30,-15,-24
2012年1月,-7,-27,-12,-23
2013年1月,1,-33,-15,-25
2014年1月,-4,-33,-13,-24
2015年1月,-6,-26,-10,-21
2016年1月,-5,-33,-14,-25
2017年1月,-3,-28,-11,-22
2018年1月,-4,-35,-14,-25
2019年1月,-1,-24,-7,-18
2020年1月,-2,-28,-10,-22
2021年1月,-3,-30,-13,-24
2022年1月,-6,-27,-12,-23
2011年2月,5,-25,-6,-17
2012年2月,2,-24,-7,-16
2013年2月,0,-29,-10,-21
2014年2月,8,-30,-8,-22
2015年2月,2,-28,-5,-16
2016年2月,5,-24,-6,-17
2017年2月,3,-23,-5,-16
2018年2月,-2,-30,-9,-21
2019年2月,10,-24,-3,-14
2020年2月,5,-29,-6,-17
2021年2月,6,-32,-7,-19
2022年2月,2,-25,-7,-19
2011年3月,14,-20,1,-8
2012年3月,14,-19,1,-8
2013年3月,5,-21,-1,-13
2014年3月,17,-18,5,-6
2015年3月,21,-20,4,-7
2016年3月,17,-15,6,-4
2017年3月,10,-20,4,-7
2018年3月,21,-24,2,-9
2019年3月,16,-12,6,-5
2020年3月,16,-18,4,-6
2021年3月,15,-22,5,-5
2022年3月,11,-13,3,-6
2011年4月,23,-5,12,2
2012年4月,25,-9,13,2
2013年4月,23,-6,8,0
2014年4月,28,-3,16,3
2015年4月,32,-6,15,3
2016年4月,20,-5,13,2
2017年4月,24,-4,15,2
2018年4月,26,-6,14,2
2019年4月,25,-5,14,1
2020年4月,22,-5,13,1
2021年4月,24,-5,13,2
2022年4月,25,-4,14,2
2011年5月,31,4,20,9
2012年5月,32,6,21,10
2013年5月,33,5,23,12
2014年5月,34,1,19,9
2015年5月,33,0,20,9
2016年5月,31,5,21,10
2017年5月,32,2,22,9
2018年5月,31,3,22,9
2019年5月,34,2,21,10
2020年5月,30,0,21,9
2021年5月,32,3,20,9
2022年5月,30,0,20,8
2011年6月,34,9,26,16
2012年6月,33,13,26,16
2013年6月,32,11,26,17
2014年6月,37,14,28,17
2015年6月,33,10,27,16
2016年6月,32,12,24,15
2017年6月,33,9,25,15
2018年6月,34,13,26,16
2019年6月,33,10,25,14
2020年6月,33,10,24,15
2021年6月,30,10,24,15
2022年6月,31,9,25,15
2011年7月,32,16,29,20
2012年7月,34,16,28,19
2013年7月,32,17,27,19
2014年7月,33,15,27,19
2015年7月,34,14,28,18
2016年7月,34,16,29,20
2017年7月,35,19,32,21
2018年7月,33,17,29,21
2019年7月,31,15,28,19
2020年7月,34,16,29,20
2021年7月,34,18,29,22
2022年7月,32,18,28,20
2011年8月,31,13,27,17
2012年8月,32,11,27,16
2013年8月,32,10,26,18
2014年8月,31,14,27,16
2015年8月,31,16,26,18
2016年8月,35,12,28,18
2017年8月,30,8,26,17
2018年8月,33,14,25,17
2019年8月,31,12,24,17
2020年8月,30,15,26,18
2021年8月,29,11,25,17
2011年9月,27,-1,20,8
2012年9月,30,5,21,11
2013年9月,27,3,21,10
2014年9月,27,-2,21,9
2015年9月,29,5,21,10
2016年9月,28,2,21,12
2017年9月,27,2,20,10
2018年9月,26,6,20,10
2019年9月,29,4,22,11
2020年9月,27,4,20,12
2020年9月,27,4,20,12
2021年9月,27,4,20,11
2011年10月,21,-4,14,3
2012年10月,21,-7,11,1
2013年10月,23,-4,12,2
2014年10月,22,-7,12,0
2015年10月,24,-7,12,1
2016年10月,23,-10,9,0
2017年10月,21,-6,11,1
2018年10月,22,-3,13,2
2019年10月,28,-5,14,2
2020年10月,19,-4,11,2
2021年10月,20,-5,12,2
2011年11月,12,-18,1,-8
2012年11月,7,-24,0,-8
2013年11月,12,-14,1,-6
2014年11月,10,-15,3,-6
2015年11月,14,-20,0,-9
2016年11月,2,-23,-3,-12
2017年11月,12,-23,0,-10
2018年11月,14,-15,1,-7
2019年11月,9,-17,0,-9
2019年11月,9,-17,0,-9
2020年11月,11,-19,0,-8
2021年11月,14,-14,0,-7
2011年12月,-3,-26,-9,-18
2012年12月,-6,-32,-15,-23
2013年12月,0,-25,-9,-18
2014年12月,-5,-30,-12,-20
2015年12月,1,-30,-8,-18
2017年12月,-3,-25,-11,-21
2018年12月,7,-25,-7,-17
2019年12月,0,-29,-9,-20
2020年12月,-5,-29,-11,-19
2021年12月,5,-28,-8,-16
