省份,城市,平均高温,平均低温,极端高温,极端低温
上海,上海,20.5,13.7,37,-3
云南,昆明,20.6,10.6,29,0
内蒙古,呼和浩特,13.4,2.3,34,-20
北京,北京,17.9,8.2,36,-11
台湾,台北,27.3,20.7,36,10
吉林,长春,10.7,1.2,32,-30
四川,成都,20.4,12.8,35,-2
天津,天津,18.1,8.4,36,-12
宁夏,银川,15.5,4.3,37,-19
安徽,合肥,20.3,12.1,36,-7
山东,济南,18.2,9.8,36,-11
山西,太原,16.4,5.2,36,-15
广东,广州,25.9,17.6,36,3
广西,南宁,25.1,17.2,36,2
新疆,乌鲁木齐,11.8,3.3,38,-28
江苏,南京,20.1,11.9,36,-7
江西,南昌,21.7,14.9,38,-1
河北,石家庄,18.7,9.4,38,-9
河南,郑州,19.4,10.1,39,-8
浙江,杭州,21.0,13.4,38,-5
海南,海口,26.3,20.3,35,7
湖北,武汉,20.9,12.3,37,-5
湖南,长沙,21.4,14.5,38,-2
澳门,澳门,25.2,19.4,35,5
甘肃,兰州,16.4,5.6,36,-15
福建,福州,24.1,16.7,38,0
西藏,拉萨,16.9,3.3,28,-11
贵州,贵阳,17.4,10.7,32,-5
辽宁,沈阳,13.5,2.1,32,-30
重庆,重庆,22.1,15.7,42,2
陕西,西安,18.8,10.4,38,-6
青海,西宁,13.9,-0.6,32,-22
香港,香港,25.3,20.4,34,7
黑龙江,哈尔滨,10.1,0.1,34,-30
